Full Name,Position,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Darren Randolph,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Snodgrass,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane Feghouli,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Fletcher,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enner Valencia,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Haksabanovic,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Martinez Lopez,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domingos Quina,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Johnson,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Trott,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses Makasi,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece Burke,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Browne,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Pask,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grady Diangana,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece Oxford,DF,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0.3
Josh Cullen,MF,6,0,0,0,0,0,0,0,0,0,0,0,7,7.2,0.6,0,0.8
Jordan Hugill,FW,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0.4,0,0
Patrice Evra,DF,227,0,0,0,10,0,0,0,0,0,0,0,32,42.8,6,0,5
Sam Byram,DF,246,0,0,0,7,0,0,0,1,0,0,0,41,71,37.6,36,14.5
Diafra Sakho,FW,294,2,1,0,11,0,0,0,2,0,0,1,65,77.6,25.1,110,21.2
Jose Fonte,DF,688,0,2,3,11,0,0,0,0,0,0,3,156,186.8,57.8,89,33.4
Andy Carroll,FW,742,3,1,3,13,0,0,0,5,1,0,6,106,145.4,110.2,344,58.8
Edimilson Fernandes,MF,840,0,2,2,20,0,0,0,1,0,0,0,123,110.8,97.3,77,28.6
Joao Mario Naval Costa Eduardo,MF,1021,2,1,4,14,0,0,0,0,0,0,5,170,176,294.9,191,66.1
James Collins,DF,1049,1,0,3,19,0,0,0,3,0,0,3,200,346,25.5,76,44.6
Michail Antonio,MF,1350,3,2,7,23,0,0,0,1,0,0,1,188,296.6,256.3,393,94.6
Declan Rice,DF,1421,0,0,3,29,0,0,0,1,0,0,0,280,310.4,35.7,29,37.5
Winston Reid,DF,1452,0,0,5,27,0,0,0,5,0,0,3,264,322.4,48.8,64,43.6
Javier Hernandez Balcazar,FW,1537,8,2,6,36,0,0,0,3,0,0,14,309,373.6,312.4,476,115
Pedro Obiang,MF,1562,2,0,5,29,0,0,0,3,0,0,6,270,377.8,132.1,88,60.1
Adrian San Miguel del Castillo,GK,1710,0,0,6,29,0,0,0,2,0,69,5,374,470.4,0,0,47
Joe Hart,GK,1710,0,1,4,39,0,1,0,0,0,54,3,341,382.8,20,0,40.2
Arthur Masuaku,DF,1867,0,3,6,29,0,0,0,5,0,0,2,352,385,295.1,128,80.7
Manuel Lanzini,MF,2039,5,7,6,44,0,0,1,4,0,0,11,470,559.4,624.9,502,168.8
Marko Arnautovic,MF,2309,11,7,7,50,0,0,0,5,1,0,12,440,713.8,543,1155,241.1
Mark Noble,MF,2400,4,0,7,45,0,0,0,6,0,0,7,461,527.6,337.8,141,100.8
Cheikhou Kouyate,MF,2798,2,3,7,56,0,0,0,5,0,0,2,367,480,262.4,320,106.1
Angelo Ogbonna,DF,2880,1,0,7,60,0,0,0,3,0,0,4,520,687.8,81.4,145,91.4
Aaron Cresswell,DF,3069,1,7,10,60,0,0,0,7,0,0,10,613,690.2,562.7,193,145
Pablo Zabaleta,DF,3289,0,1,10,62,1,0,0,9,0,0,6,563,635,293.7,77,100.7
Connor Wickham,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Lokilo,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keshi Anderson,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon Mutch,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Henry,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaroslaw Jach,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erdal Rakip,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nya Kirby,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Cavalieri,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Daly,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pape Souare,DF,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.1,0,0.1
Sullay Kaikai,MF,13,0,0,0,0,0,0,0,0,0,0,0,5,5.2,0.3,0,0.6
Olayinka Fredrick Oladotun Ladapo,FW,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,1.1,0,0.2
Levi Lumeka,MF,25,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.5,18,2.3
Damien Delaney,DF,95,0,0,0,5,0,0,0,0,0,0,0,19,40,0.3,0,4
Chung-yong Lee,MF,131,0,0,0,3,0,0,0,0,0,0,0,23,4.4,32,10,4.6
Alexander Sorloth,FW,360,0,0,0,9,0,0,0,0,0,0,0,25,48.6,74,102,22.5
Jairo Riedewald,DF,435,0,0,2,6,0,0,0,0,0,0,0,100,74.4,21.5,12,10.6
Bakary Sako,MF,466,3,0,1,10,0,0,0,0,0,0,1,115,143.2,103.1,227,46.9
Jason Puncheon,MF,574,0,0,0,14,0,0,0,5,0,0,0,38,46.4,93.9,112,25.1
Aaron Wan-Bissaka,MF,627,0,0,2,10,0,0,0,1,0,0,0,116,207.2,60,2,26.8
Julian Speroni,GK,990,0,0,2,14,0,0,0,0,0,30,3,175,213.6,0,0,21.3
Martin Kelly,DF,1193,0,0,4,21,1,0,0,1,0,0,1,185,222.6,25.7,84,33.3
Scott Dann,DF,1434,1,0,1,26,0,0,0,4,0,0,0,211,342.2,62.3,268,67
Timothy Fosu-Mensah,DF,1592,0,0,2,29,0,0,0,2,0,0,3,279,326.6,103.7,43,47.4
Mamadou Sakho,DF,1597,1,2,6,23,0,0,0,1,0,0,18,405,426.2,30.7,77,53.6
Joel Ward,DF,1613,0,1,4,25,1,0,0,4,0,0,0,276,340.6,163.5,58,56.3
Jeffrey Schlupp,DF,1742,0,2,3,30,0,0,0,3,0,0,0,281,339.6,189.7,155,68.6
Ruben Loftus-Cheek,MF,1871,2,5,6,30,0,0,0,1,0,0,2,337,379.2,377,487,124.5
Patrick van Aanholt,DF,2182,5,1,6,38,0,0,0,7,0,0,7,448,537,303.8,319,116.3
Christian Benteke,FW,2234,3,7,6,36,0,0,1,6,0,0,5,174,325.2,406.7,845,157.5
Yohan Cabaye,MF,2374,0,4,8,36,0,0,0,7,0,0,3,415,431.2,754,348,153.5
James Tomkins,DF,2386,3,0,9,32,0,0,0,8,0,0,9,512,712.6,22.4,309,104.7
James McArthur,MF,2425,5,2,7,35,0,0,0,5,0,0,9,416,490.6,333,566,138.9
Wayne Hennessey,GK,2430,0,0,7,41,0,0,0,1,0,91,11,506,603.8,10,0,61.4
Wilfried Zaha,MF,2549,9,7,10,31,0,0,0,5,0,0,8,404,668,716.9,1125,251
Luka Milivojevic,MF,3079,10,2,8,52,0,0,1,8,0,0,21,630,873.8,379,432,168.6
Andros Townsend,MF,3120,2,9,9,48,0,0,0,3,0,0,7,552,626,1012.1,587,222.8
Jonathan Leko,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane Wilson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Palmer,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Melbourne,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayhaan Tulloch,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ferguson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Gabr,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Jameson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rekeem Harper,MF,20,0,0,0,0,0,0,0,0,0,0,0,6,6.6,20.4,0,2.7
Boaz Myhill,GK,90,0,0,0,1,0,0,0,1,0,2,0,7,12.2,0,0,1.2
James Morrison,MF,205,1,0,2,1,0,0,0,0,0,0,0,35,56,40.4,47,14.5
Nacer Chadli,MF,213,1,0,1,4,0,0,0,1,0,0,3,38,44.4,26.4,35,10.6
Oliver Burke,MF,356,0,2,0,11,0,0,0,0,0,0,0,75,77.4,73.9,75,22.5
Gareth McAuley,DF,454,0,0,0,15,0,0,0,0,0,0,0,73,85.4,4.9,2,9.3
Sam Field,MF,534,1,0,4,7,0,0,0,3,0,0,2,70,102.4,64.8,95,26.3
Daniel Sturridge,FW,541,2,1,3,8,0,0,0,0,0,0,0,131,136.2,205.3,304,64.5
Hal Robson-Kanu,FW,816,2,0,4,14,0,0,0,2,1,0,1,83,121.2,115.9,264,49.5
Claudio Yacob,MF,898,0,0,3,17,0,0,0,5,0,0,0,124,142.8,29.1,59,23.2
James McClean,MF,1391,1,0,6,20,1,0,0,7,0,0,1,153,237.4,299,279,80.2
Grzegorz Krychowiak,MF,1634,0,3,4,30,0,0,0,2,0,0,4,249,271.8,220.9,91,58.4
Chris Brunt,MF,1917,0,8,9,23,0,0,0,5,0,0,6,380,421.8,651.1,155,122.9
Gareth Barry,MF,1921,1,2,4,35,0,0,0,4,0,0,0,287,347.8,274.9,195,82
Matt Phillips,MF,2087,2,3,10,32,0,0,0,3,0,0,3,276,370.2,531.8,345,124.7
Jonny Evans,DF,2269,2,2,6,38,1,0,0,7,0,0,5,455,536.2,104.2,211,85.1
Allan-Romeo Nyom,DF,2306,0,1,7,40,0,0,0,7,0,0,6,407,454.6,266.7,23,74.3
Craig Dawson,DF,2510,2,1,8,39,0,0,0,6,0,0,4,453,629.6,181.3,298,111.2
Jake Livermore,MF,2671,2,2,8,41,0,0,0,5,0,0,6,375,454.6,313.1,207,97.8
Salomon Rondon,FW,2765,7,3,6,48,0,0,0,4,0,0,5,271,431.2,387.2,891,169.6
Jay Rodriguez,FW,2807,7,1,10,41,0,0,0,2,0,0,11,335,460.4,329.8,931,171.1
Kieran Gibbs,DF,2826,0,2,8,44,0,0,0,3,0,0,2,483,484.6,359.6,131,97.7
Ben Foster,GK,3330,0,0,10,55,0,0,0,2,0,99,11,635,716.8,20,0,73.8
Ahmed El-Sayed Hegazi,DF,3386,2,0,10,55,0,0,0,4,0,0,11,646,962.8,99.5,196,126.1
Niki Maenpaa,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Sidwell,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiri Skalak,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Norwood,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Krul,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uwe Hunemeier,DF,17,0,0,0,1,0,0,0,0,0,0,0,5,7,0.3,2,0.9
Sam Baldock,FW,30,0,0,0,1,0,0,0,0,0,0,0,4,0.4,0.8,6,0.7
Liam Rosenior,DF,163,0,0,0,3,0,0,0,0,0,0,0,22,28.8,4.7,2,3.6
Jamie Murphy,MF,166,0,0,0,4,0,0,0,0,0,0,0,25,11.8,15.5,24,5.1
Connor Goldson,DF,199,0,0,1,5,0,0,0,1,0,0,0,36,40.4,3.5,55,9.9
Jurgen Locadia,FW,221,1,1,1,8,0,0,0,0,0,0,2,47,50.4,24.6,89,15.8
Leonardo Ulloa,FW,279,1,0,1,4,0,0,0,0,0,0,0,66,68,94.2,66,22.7
Isaiah Brown,MF,302,0,0,0,8,0,0,0,0,0,0,0,60,33.2,86.2,25,14.5
Beram Kayal,MF,735,0,0,1,14,0,0,0,2,0,0,0,115,111.2,137,48,29.6
Tomer Hemed,FW,842,2,2,3,8,0,0,0,0,0,0,5,110,152,66.1,227,44.2
Markus Suttner,DF,1178,0,0,4,18,0,0,0,0,0,0,3,204,187.4,105.6,17,30.8
Ezequiel Schelotto,DF,1313,0,0,0,30,0,0,0,3,0,0,0,183,210,99.2,73,38.2
Solomon March,MF,1838,1,3,6,29,0,0,0,3,0,0,3,303,357.4,320.9,316,99.8
Jose Heriberto Izquierdo Mena,MF,1976,5,5,5,32,0,0,0,2,0,0,4,324,385.4,311.3,618,131.3
Bruno Saltor Grau,DF,2014,0,0,10,23,0,0,0,3,0,0,8,423,360.4,174.1,35,57.2
Glenn Murray,FW,2184,12,0,8,36,0,0,2,9,0,0,16,319,492.4,271.8,779,153.1
Gaetan Bong,DF,2237,0,0,6,36,1,0,0,2,0,0,5,369,346.2,154.6,18,52.1
Anthony Knockaert,MF,2415,3,1,11,29,0,0,0,4,1,0,6,383,404,557.2,530,149.1
Pascal Gross,MF,2928,7,8,10,46,0,0,0,2,0,0,24,635,735.4,1311,527,257.6
Davy Propper,MF,3118,0,4,9,50,0,0,0,2,1,0,1,446,535.8,297.1,255,108.9
Dale Stephens,MF,3240,0,3,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176,107.7
Shane Duffy,DF,3292,0,2,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361,148.9
Mathew Ryan,GK,3420,0,0,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1
Lewis Dunk,DF,3420,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425,157.9
Joel Coleman,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Gorenc Stankovic,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Hudson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Payne,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Bunn,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Scannell,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Green,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Hefele,DF,32,0,0,0,1,0,0,0,1,0,0,0,1,4,0.1,0,0.4
Dean Whitehead,MF,68,0,0,0,3,0,0,0,0,0,0,0,16,6.6,1.1,0,0.8
Martin Cranie,DF,179,0,0,0,7,0,0,0,0,0,0,0,35,44,1.7,2,4.7
Joe Lolley,MF,217,1,0,0,5,0,0,0,1,0,0,0,28,50.6,20,47,11.8
Abdelhamid Sabiri,MF,217,0,1,1,5,0,0,0,1,0,0,0,30,30.8,40.6,53,12.4
Philip Billing,MF,755,0,0,3,11,0,0,0,3,0,0,0,98,111.4,58.6,26,19.3
Alex Pritchard,MF,997,1,2,3,12,0,0,0,1,0,0,3,168,173.6,300.3,213,68.7
Terence Kongolo,DF,1047,0,0,2,14,0,0,0,0,0,0,2,182,268,52.2,47,36.7
Scott Malone,DF,1110,0,1,3,23,0,0,0,3,0,0,4,211,221.6,146.8,97,46.5
Danny Williams,MF,1115,0,0,0,22,0,0,0,2,0,0,0,134,131.4,83,56,27
Collin Quaner,FW,1268,0,4,3,23,0,0,0,4,0,0,0,173,209,255.7,283,74.8
Elias Kachunga,MF,1327,1,1,6,23,0,0,0,1,0,0,0,151,151,152.1,246,54.5
Chris Lowe,DF,1585,0,0,7,26,0,0,0,1,0,0,0,321,266,125.5,39,43
Florent Hadergjonaj,DF,1670,0,1,4,28,0,0,0,3,0,0,5,274,310,381.8,95,78.8
Laurent Depoitre,FW,1807,6,2,4,34,0,0,0,1,0,0,14,283,352,191.4,451,99.6
Steve Mounie,FW,1849,7,2,6,32,0,0,0,2,0,0,12,269,377,270.7,600,124.5
Tommy Smith,DF,1902,0,1,5,31,0,0,0,7,0,0,2,311,322,251.6,50,62.8
Rajiv van La Parra,MF,2131,3,0,6,36,0,0,0,3,1,0,3,240,322.6,261.6,544,112.7
Jonathan Hogg,MF,2396,0,0,7,40,0,0,0,8,1,0,0,400,475,172.8,61,71.2
Tom Ince,MF,2450,2,1,7,39,0,0,0,0,0,0,3,269,253,331.3,794,138
Aaron Mooy,MF,3066,4,3,10,52,0,0,0,4,0,0,8,576,753.2,848.8,350,195.2
Christopher Schindler,DF,3264,0,2,9,53,0,0,0,6,1,0,15,692,928,107.1,149,119.1
Jonas Lossl,GK,3420,0,1,10,58,1,2,0,1,0,103,11,701,846.8,30,0,87.8
Mathias Jorgensen,DF,3420,0,3,10,58,0,0,0,6,0,0,9,623,768.6,123.6,169,106.2
Aleksandar Kolarov,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Francisco Reges,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Agudo Durán,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwatosin Adarabioyo,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Nmecha,FW,14,0,0,0,0,0,0,0,0,0,0,0,4,0,3.1,0,0.3
Phil Foden,MF,45,0,1,0,1,0,0,0,0,0,0,0,31,29.2,32.1,10,7.1
Brahim Diaz,MF,50,0,0,0,1,0,0,0,0,0,0,0,14,6.8,5.6,53,6.6
Claudio Bravo,GK,224,0,0,1,1,0,0,0,0,0,4,1,42,45.2,0,0,4.5
Gnegneri Yaya Toure,MF,227,0,2,0,2,0,0,0,1,0,0,0,99,105,122.6,72,29.8
Benjamin Mendy,DF,360,0,1,2,1,0,0,0,2,0,0,1,96,84.2,139.3,48,27.2
Oleksandr Zinchenko,MF,530,0,0,3,3,0,0,0,1,0,0,0,104,116.4,145.9,21,28.3
Aymeric Laporte,DF,806,0,0,4,5,0,0,0,1,0,0,2,204,165.8,52.8,34,25.4
John Stones,DF,1301,0,0,9,11,0,0,0,0,0,0,5,334,283.4,26.3,120,43.2
Danilo Luiz da Silva,DF,1340,3,2,9,11,0,0,0,2,0,0,8,398,376,158.1,176,71.1
Vincent Kompany,DF,1394,1,1,6,11,0,0,0,6,0,0,2,326,399.6,76.5,116,59.2
Ilkay Gundogan,MF,1504,4,2,6,15,0,0,0,3,0,0,9,376,381.4,406.4,408,119.3
Bernardo Mota Veiga de Carvalho e Silva,MF,1514,6,5,9,10,0,0,0,0,0,0,8,440,475.6,508.7,464,144.4
Gabriel Fernando de Jesus,FW,1660,13,7,9,12,0,0,2,6,0,0,18,473,603.6,360.3,1089,204.9
Fabian Delph,MF,1740,1,2,6,17,0,0,0,2,0,0,0,398,369.2,263.7,62,69.4
Sergio Aguero,FW,1960,21,6,13,12,0,0,0,2,0,0,22,740,966.4,570.8,1484,302.5
Leroy Sane,MF,2415,10,15,12,22,0,0,0,4,0,0,17,647,842.4,891.3,1013,274.4
David Silva,MF,2431,9,11,14,18,0,0,0,5,0,0,26,671,875.8,1118.5,867,286.5
Raheem Sterling,MF,2584,18,17,13,23,0,0,0,3,1,0,19,701,969.8,838.2,1488,329.7
Kyle Walker,DF,2784,0,6,15,22,1,0,0,2,1,0,8,691,542.4,511.4,117,117.1
Fernando Luiz Rosa,MF,2880,5,4,15,24,0,0,0,7,0,0,9,596,800.2,511.9,411,172.4
Nicolas Otamendi,DF,2966,4,0,15,25,1,0,0,9,0,0,21,742,846.6,224.6,363,143.7
Kevin De Bruyne,MF,3073,8,18,19,22,0,0,0,2,0,0,25,872,1146.6,1744.2,797,368.9
Ederson Santana de Moraes,GK,3195,0,0,16,26,0,2,0,1,0,58,10,666,546.2,10,0,55.6
Costel Pantilimon,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Mason,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valon Behrami,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Berghuis,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Success,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauro Zarate,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Folivi,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Bachmann,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Stewart,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didier Ndong,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joy Mukena,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodi Lukebakio,MF,15,0,0,0,1,0,0,0,0,0,0,0,5,6.6,24.7,5,3.6
Jerome Sinclair,FW,29,0,0,0,1,0,0,0,0,0,0,0,12,4.4,11,4,1.9
Younes Kaboul,DF,151,0,0,1,3,0,0,0,0,0,0,0,35,47.4,0.9,2,5
Nordin Amrabat,MF,198,0,0,1,3,0,0,0,0,0,0,0,11,22.8,46.5,10,8
Gerard Deulofeu,MF,433,1,1,2,3,0,0,0,0,0,0,3,87,92.4,141.3,124,35.8
Molla Wague,DF,438,1,0,1,8,0,0,0,0,0,0,0,82,98,5.6,41,14.5
Stefano Okaka,FW,442,1,1,2,9,0,0,0,2,0,0,1,52,74.4,92,145,29.8
Nathaniel Chalobah,MF,447,0,0,3,7,0,0,0,1,0,0,0,40,78.8,26.5,95,20
Ben Watson,MF,455,0,0,0,12,0,0,0,1,0,0,0,61,74.2,46.1,10,13.1
Craig Cathcart,DF,495,0,0,1,6,0,0,0,1,0,0,0,90,120,2,23,14.6
Miguel Britos,DF,795,1,0,2,16,0,0,0,3,1,0,0,149,180.4,42.7,51,27.3
Will Hughes,MF,987,2,3,4,16,0,0,0,0,0,0,5,190,238.6,267,136,64.3
Marvin Zeegelaar,DF,993,0,2,2,18,0,0,0,4,1,0,5,186,185.2,142.1,24,35.2
Orestis Karnezis,GK,1291,0,0,4,24,0,0,0,0,0,34,5,240,247.6,0,0,24.8
Andre Gray,FW,1486,5,3,5,30,0,0,0,1,0,0,4,237,251.2,254,594,108.2
André Carrillo,MF,1529,1,3,4,31,0,0,0,2,0,0,4,275,271.2,331.2,300,90.3
Etienne Capoue,MF,1537,1,1,4,29,0,0,0,3,0,0,0,262,280.2,165.9,150,59.7
Sebastian Prodl,DF,1566,0,0,5,29,0,0,0,5,0,0,0,267,276.4,25.9,89,39.3
Roberto Pereyra,MF,1610,5,3,1,34,0,0,0,3,0,0,5,299,346,370.6,472,118.8
Francisco Femenía Far,DF,1709,1,1,5,34,0,0,0,2,0,0,9,389,327.2,302.8,113,74.5
Daryl Janmaat,DF,1818,3,1,2,37,0,0,0,3,0,0,3,342,445,230.6,253,92.9
Troy Deeney,FW,1836,5,2,6,30,0,0,2,1,1,0,7,241,343,349.4,566,125.3
Tom Cleverley,MF,1900,1,2,6,33,0,0,1,1,1,0,3,300,332.2,464.8,124,92.1
Heurelho Gomes,GK,2128,0,0,5,40,0,0,0,0,0,61,4,394,457,0.2,0,45.6
Adrian Mariappa,DF,2206,0,0,6,43,0,0,0,4,0,0,2,378,462,59.4,106,62.8
Christian Kabasele,DF,2329,2,0,6,43,1,0,0,5,0,0,2,407,645,52,137,83.7
Jose Holebas,DF,2381,0,4,6,47,0,0,0,7,0,0,6,412,510,632.8,125,127
Richarlison de Andrade,MF,2817,5,8,8,54,0,0,0,4,0,0,4,304,497,384.7,1217,209.3
Abdoulaye Doucoure,MF,3324,7,4,9,63,0,0,0,10,0,0,16,679,859,595.8,537,199.7
Kristoffer Nordfeldt,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Kingsley,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Montero,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modou Barrow,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rodon,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erwin Mulder,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Fulton,MF,17,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.1,0,0
Angel Rangel,DF,154,0,0,0,3,0,0,0,0,0,0,0,28,24.2,22.1,2,4.8
Kyle Bartley,DF,233,0,0,0,4,0,0,0,2,0,0,0,29,75,21.2,16,11.2
Oliver McBurnie,FW,267,0,1,0,5,0,0,0,0,0,0,0,45,38.4,30.4,105,17.4
Connor Roberts,DF,267,0,0,0,4,0,0,0,0,0,0,0,41,26.2,12.8,2,4.1
Leon Britton,MF,301,0,0,3,1,0,0,0,1,0,0,0,38,18.4,8.5,4,3
Wayne Routledge,MF,420,0,0,1,11,0,0,0,1,0,0,0,57,56.6,95.7,76,22.6
Luciano Narsingh,MF,614,1,0,1,15,0,0,0,0,0,0,3,97,109.4,149.5,155,41.4
Renato Sanches,MF,699,0,0,2,10,0,0,0,1,0,0,0,83,71.8,135,64,27
Wilfried Bony,FW,701,2,1,2,8,0,0,0,2,0,0,3,103,119,70.6,211,39.3
Roque Mesa,MF,753,0,0,2,16,0,0,0,3,0,0,0,125,89,85.7,34,20.9
Andy King,MF,1247,3,1,1,26,0,0,0,2,0,0,1,225,239.8,116.9,204,56.2
Nathan Dyer,MF,1300,0,1,3,21,0,0,0,2,0,0,0,139,103.8,211.1,174,48.7
Leroy Fer,MF,1394,1,1,4,26,0,0,0,5,0,0,0,201,240.6,180,139,56
Tammy Abraham,FW,1715,5,3,4,31,0,0,0,0,0,0,11,238,269.2,182.6,693,114.2
Andre Ayew,MF,1834,3,5,3,42,0,0,1,5,0,0,2,249,319.4,283.1,429,102.7
Sung-yueng Ki,MF,1865,2,2,5,29,0,0,0,2,0,0,9,340,307.2,338.1,152,79.7
Mike van der Hoorn,DF,1944,1,0,8,27,0,0,0,4,0,0,4,396,460.6,72.6,160,69.4
Sam Clucas,MF,2039,3,1,5,30,0,0,0,2,0,0,4,305,362.4,270.1,233,86.2
Tom Carroll,MF,2562,0,4,7,39,0,0,0,3,0,0,6,431,452.8,748.6,172,137.5
Federico Fernandez,DF,2676,1,1,7,44,1,0,0,5,0,0,10,500,736,75.4,187,100
Jordan Ayew,FW,2850,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944,185.8
Kyle Naughton,DF,3030,0,2,9,50,1,0,0,1,0,0,11,561,670.6,253.3,141,106.9
Martin Olsson,DF,3149,0,1,10,50,0,0,0,7,0,0,0,454,324.4,295.9,133,75.4
Lukasz Fabianski,GK,3420,0,0,9,56,0,3,0,0,0,137,14,772,1087.8,10,0,109.9
Alfie Mawson,DF,3420,2,1,9,56,0,0,0,3,0,0,7,662,848.4,86.4,254,119.4
Paul Robinson,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Marney,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
