Full Name,Position,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Christian Atsu,MF,1776,2,4,6,22,0,0,0,1,0,0,5,236,308.8,340.6,480,112.9
Dwight Gayle,FW,1946,6,3,6,31,0,0,0,3,0,0,8,276,352,333.6,808,148.7
Mohamed Diame,MF,2034,2,0,6,27,0,0,0,3,0,0,3,340,431.8,214.2,203,85.3
Florian Lejeune,DF,2103,0,2,5,32,0,0,0,3,0,0,6,406,557,92.3,139,78.9
Jonjo Shelvey,MF,2264,1,4,6,30,0,0,0,2,2,0,4,360,442.6,639.9,243,132.3
Ayoze Perez,FW,2486,8,6,8,28,1,0,0,3,0,0,15,420,571.8,539,809,191.7
Matt Ritchie,MF,2802,3,7,9,35,0,0,0,6,0,0,10,489,561.2,844.4,520,192.6
DeAndre Yedlin,DF,2842,0,2,7,37,1,0,0,5,0,0,5,467,494.4,340.7,63,90
Jamaal Lascelles,DF,2927,3,0,9,31,0,0,0,5,0,0,9,567,800,77.2,234,111.5
Cameron Carter-Vickers,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tashan Oakley-Boothe,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Foyth,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie Whiteman,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazaiah Sterling,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Janssen,FW,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Michel Vorm,GK,90,0,0,0,1,0,0,0,0,0,4,0,17,19,0,0,1.9
Paulo Gazzaniga,GK,90,0,0,1,0,0,0,0,0,0,3,2,26,27.4,0,0,2.7
Kyle Walker-Peters,DF,188,0,2,1,4,0,0,0,0,0,0,0,73,70.4,48.3,10,12.9
Lucas Rodrigues Moura da Silva,MF,206,0,1,0,6,0,0,0,0,0,0,0,36,49,83.2,41,17.5
Fernando Llorente,FW,224,1,0,1,2,0,0,0,1,0,0,2,70,60.2,66.7,99,22.6
Harry Winks,MF,768,0,1,4,9,0,0,0,0,0,0,0,167,144.4,172.2,14,33.1
Danny Rose,DF,800,0,2,2,14,0,0,0,4,0,0,0,136,159.4,181.6,117,45.9
Erik Lamela,MF,826,2,4,4,12,0,0,0,4,0,0,1,186,204.8,283.1,364,84.7
Victor Wanyama,MF,837,1,0,2,11,0,0,0,2,0,0,1,174,206,96.8,77,37.8
Toby Alderweireld,DF,1177,0,0,5,13,0,0,0,3,0,0,3,247,249.2,67.8,50,36.8
Moussa Sissoko,MF,1385,1,1,7,18,0,0,0,3,0,0,0,246,245.8,384.7,281,91.1
Serge Aurier,DF,1427,2,2,6,13,0,0,0,1,1,0,9,335,367.2,236.5,209,81.4
Mousa Dembele,MF,1875,0,0,7,22,0,0,0,6,0,0,3,358,309.2,303.1,73,68.5
Kieran Trippier,DF,1912,0,7,9,21,0,0,0,1,0,0,18,539,459,617.5,78,115.6
Heung-Min Son,MF,2292,12,8,14,18,0,0,0,0,0,0,16,544,725.8,588.2,1177,249.1
Ben Davies,DF,2323,2,7,12,20,0,0,0,3,0,0,14,615,610,698.8,201,151
Davinson Sanchez,DF,2532,0,0,13,21,1,0,0,1,1,0,8,597,598,74.8,89,76.2
Eric Dier,MF,2822,0,2,15,30,0,0,0,4,0,0,2,477,604.2,293.4,289,118.6
Bamidele Alli,MF,2957,9,13,16,28,0,0,0,7,0,0,12,565,775.2,878.5,934,258.8
Harry Kane,FW,3074,29,2,15,34,0,0,1,5,0,0,31,781,1214.4,502.1,2355,407.4
Jan Vertonghen,DF,3203,0,1,16,31,0,0,0,4,0,0,13,778,774.4,205.7,243,122.7
Christian Eriksen,MF,3218,11,10,17,33,0,0,0,0,0,0,23,826,1072.6,1487,1021,358.2
Hugo Lloris,GK,3240,0,0,15,35,0,0,0,1,0,87,6,694,726.4,0.1,0,72.3
Eduardo dos Reis Carvalho,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
