,Player,POS,Valuation
390,Leonardo Morosini,Attacking Midfield,£1.35m
393,Luca Tremolada,Attacking Midfield,£810k
396,Mario Balotelli,Centre-Forward,£18.00m
399,Alfredo Donnarumma,Centre-Forward,£5.40m
402,Florian Ayé,Centre-Forward,£2.88m
405,Ernesto Torregrossa,Centre-Forward,£2.70m
408,Alessandro Matri,Centre-Forward,£270k
411,Luigi Sepe,Goalkeeper,£4.50m
414,Simone Colombi,Goalkeeper,£720k
417,Fabrizio Alastra,Goalkeeper,£270k
420,Riccardo Gagliolo,Centre-Back,£2.70m
423,Bruno Alves,Centre-Back,£900k
426,Kastriot Dermaku,Centre-Back,£540k
429,Giuseppe Pezzella,Left-Back,£2.70m
432,Matteo Darmian,Right-Back,£9.00m
435,Vincent Laurini,Right-Back,£1.35m
438,Simone Iacoponi,Right-Back,£900k
441,Hernani,Defensive Midfield,£3.15m
444,Gastón Brugman,Defensive Midfield,£2.25m
447,Matteo Scozzarella,Defensive Midfield,£720k
450,Emerson Espinoza,Defensive Midfield,£270k
453,Alberto Grassi,Central Midfield,£6.30m
456,Juraj Kucka,Central Midfield,£4.50m
459,Antonino Barillà,Central Midfield,£900k
462,Gianni Munari,Central Midfield,£90k
465,Gervinho,Left Winger,£8.10m
468,Yann Karamoh,Right Winger,£9.00m
471,Dejan Kulusevski,Right Winger,£5.40m
474,Mattia Sprocati,Right Winger,£1.35m
477,Luca Siligardi,Right Winger,£720k
480,Roberto Inglese,Centre-Forward,£13.50m
483,Andreas Cornelius,Centre-Forward,£2.70m
486,Andrea Adorante,Centre-Forward,£450k
489,Wojciech Szczesny,Goalkeeper,£31.50m
492,Mattia Perin,Goalkeeper,£9.00m
495,Gianluigi Buffon,Goalkeeper,£900k
498,Carlo Pinsoglio,Goalkeeper,£450k
501,Matthijs de Ligt,Centre-Back,£67.50m
504,Leonardo Bonucci,Centre-Back,£25.20m
507,Daniele Rugani,Centre-Back,£19.80m
510,Merih Demiral,Centre-Back,£13.50m
513,Giorgio Chiellini,Centre-Back,£6.75m
516,Alex Sandro,Left-Back,£40.50m
519,Danilo,Right-Back,£18.00m
522,Mattia De Sciglio,Right-Back,£12.60m
525,Emre Can,Defensive Midfield,£29.70m
528,Miralem Pjanic,Central Midfield,£63.00m
531,Aaron Ramsey,Central Midfield,£36.00m
534,Adrien Rabiot,Central Midfield,£31.50m
537,Rodrigo Bentancur,Central Midfield,£31.50m
540,Blaise Matuidi,Central Midfield,£19.80m
543,Sami Khedira,Central Midfield,£7.65m
546,Cristiano Ronaldo,Left Winger,£81.00m
549,Marko Pjaca,Left Winger,£9.00m
552,Federico Bernardeschi,Right Winger,£40.50m
555,Douglas Costa,Right Winger,£34.20m
558,Juan Cuadrado,Right Winger,£16.20m
561,Paulo Dybala,Second Striker,£67.50m
564,Gonzalo Higuaín,Centre-Forward,£31.50m
567,Mario Mandzukic,Centre-Forward,£9.00m
570,Alessio Cragno,Goalkeeper,£18.00m
573,Robin Olsen,Goalkeeper,£6.75m
576,Rafael,Goalkeeper,£180k
579,Simone Aresti,Goalkeeper,£180k
582,Sebastian Walukiewicz,Centre-Back,£3.60m
585,Luca Ceppitelli,Centre-Back,£2.25m
588,Ragnar Klavan,Centre-Back,£1.35m
591,Fabio Pisacane,Centre-Back,£630k
594,Luca Pellegrini,Left-Back,£9.00m
597,Charalampos Lykogiannis,Left-Back,£1.35m
600,Paolo Faragò,Right-Back,£4.50m
603,Federico Mattiello,Right-Back,£2.25m
606,Fabrizio Cacciatore,Right-Back,£720k
609,Simone Pinna,Right-Back,£158k
612,Christian Oliva,Defensive Midfield,£4.50m
