full_name,position,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,saves,penalties_scored,yellow_cards,red_cards,creativity,influence,threat,bonus,bps,ict_index
Jacob Murphy,MF,1617,2,3,3,33,0,0,0,3,0,280.8,363.4,289,7,252,93.2
Emile Smith Rowe,MF,1438,2,5,9,10,0,0,0,0,0,385.1,273.2,222,3,308,88.1
Jeff Hendrick,MF,1418,2,1,3,24,0,0,0,1,1,99,211.4,95,3,177,40.3
Jeffrey Schlupp,MF,1415,2,3,5,26,0,0,0,3,0,242.1,336.6,304,3,194,88.2
Johann Berg Gudmundsson,MF,1358,2,0,3,24,0,0,0,2,0,160.8,193.6,170,3,175,52.3
Ayoze Perez,MF,1322,2,1,5,21,0,0,0,2,0,323.6,255.6,482,2,149,106.1
Hakim Ziyech,MF,1164,2,3,10,7,0,0,0,3,0,485.6,274.8,369,8,239,112.8
Mahmoud Ahmed Ibrahim Hassan,MF,1157,2,1,6,14,0,0,0,0,0,180.1,213.6,478,3,152,86.7
Callum Hudson Odoi,MF,1050,2,3,6,5,0,0,0,0,0,471.5,291.8,336,2,239,109.9
Gabriel Teodoro Martinelli Silva,MF,582,2,1,4,3,0,0,0,0,0,133.8,142.6,300,0,107,57.5
Yves Bissouma,MF,3112,1,0,11,42,0,0,0,8,1,295.5,523.6,196,2,487,101.1
Jonjo Shelvey,MF,2616,1,3,6,46,0,0,0,7,0,522.1,474.2,299,2,377,129.6
Joao Filipe Iria Santos Moutinho,MF,2526,1,1,6,40,0,0,0,3,1,726.9,478.4,113,4,446,132.2
Granit Xhaka,MF,2519,1,2,10,27,0,0,0,7,1,327.6,456,154,1,396,94
Leander Dendoncker,MF,2498,1,2,11,33,0,0,0,4,0,261.4,386.4,343,2,330,99.2
Kalvin Phillips,MF,2428,1,2,9,34,0,0,0,10,0,539.3,535.4,82,2,396,115.8
Frederico Rodrigues de Paula Santos,MF,2389,1,0,12,25,0,0,0,5,0,395.6,482.6,200,1,404,108
Luka Milivojevic,MF,2357,1,1,7,47,0,0,1,8,1,329.6,410.8,143,3,332,88.4
Andros Townsend,MF,2250,1,5,7,37,0,0,0,0,0,694.6,511.4,311,8,378,152.1
Wilfred Ndidi,MF,2175,1,4,7,31,0,0,0,6,0,234.5,549.2,78,11,430,86.2
Ruben Loftus Cheek,MF,1962,1,0,11,22,0,0,0,3,0,274,201.6,439,0,178,91.4
Thiago Alcantara do Nascimento,MF,1851,1,0,8,18,0,0,0,4,0,460.3,378.8,178,1,331,101.9
Oriol Romeu Vidal,MF,1762,1,1,6,25,0,0,0,6,0,229.1,349.2,98,4,264,67.6
Marc Albrighton,MF,1735,1,7,4,22,0,0,0,2,0,544.2,412.6,282,3,325,123.9
