Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Chema,LEV,LIGA,D,25,2017,23,2,1,8,0,1,1,1,1,1,0,7,3,30,0,0,4,1,3,0,27,20,13,21,13,535,691,0,30,93,1,63,1,0,5,2,0,2,1,1,0,0,5,1,940,12,0,0,0,0,0,0,0,0,1,0,0,0,34,6,1,109,109,84,0,0,2,0,0,1
Emmanuel Riviere,FCM,FRAN,F,28,2014,23,5,12,1,0,0,5,2,0,2,0,69,24,2,3,0,17,2,15,0,0,10,2,43,16,429,633,0,104,55,13,142,0,0,52,21,5,17,3,0,0,0,26,0,903,116,2,2,0,0,0,0,0,0,12,0,0,0,41,0,0,5,5,6,1,0,9,8,5,23
Ryan Fraser,BOU,EPL,M,26,2009,23,3,8,0,0,0,5,3,1,3,0,30,12,17,138,34,42,3,29,10,4,12,8,6,45,625,815,19,9,103,10,75,0,0,15,7,4,15,5,1,0,0,19,0,1268,62,0,0,0,0,12,4,59,49,23,1,0,0,38,2,0,29,29,21,1,0,1,0,2,23
Somalia,TFC,FRAN,F/M,27,2009,23,4,12,2,0,0,1,0,0,0,0,27,8,34,32,5,21,3,21,0,2,64,44,27,51,468,594,5,30,128,36,181,0,0,13,7,1,14,1,0,0,0,33,0,1110,42,0,0,0,0,0,0,0,0,12,0,0,0,32,4,0,26,26,13,1,0,2,1,1,75
Jonathan Viera,LP,LIGA,F/M,23,1994,23,0,1,4,0,0,4,3,0,2,1,39,16,11,55,16,63,9,47,13,0,36,25,21,69,1250,1480,3,9,101,64,177,0,0,13,8,3,26,8,1,0,0,54,0,1978,38,3,1,0,2,15,6,41,31,9,10,3,0,46,4,0,1,1,48,10,0,3,4,4,98
Lucas Castro,CHV,SERI,M,25,1989,23,2,7,3,0,0,3,4,1,4,0,39,15,39,55,6,28,4,24,0,8,54,40,40,40,761,983,6,43,177,34,168,0,0,26,10,3,13,5,0,0,0,35,0,1468,60,0,0,0,0,0,0,1,0,13,0,0,0,34,3,0,33,33,33,1,0,1,6,1,59
Callum Wilson,BOU,EPL,F,28,1987,23,5,14,0,0,0,8,2,1,2,0,53,19,3,15,3,19,2,15,2,3,9,5,37,35,276,391,3,21,67,17,82,0,0,44,18,8,9,1,0,0,0,47,0,727,114,0,0,0,0,0,0,2,0,26,0,0,0,33,1,0,15,15,5,0,0,20,8,5,43
Jose Izquierdo,BHA,EPL,F/M,32,1987,23,9,12,2,0,0,5,3,0,3,0,52,16,16,23,6,21,4,18,0,0,23,15,20,13,409,523,6,15,108,30,81,0,0,29,11,4,23,5,1,0,1,22,0,843,90,0,0,0,0,0,0,0,0,9,0,0,0,32,0,0,25,25,4,0,0,14,3,0,49
Roberto Gagliardini,INT,SERI,M,30,1984,23,7,5,8,0,0,0,0,0,0,0,21,2,46,13,2,17,2,17,0,3,63,45,47,35,1234,1447,2,65,147,11,170,0,2,11,1,0,10,1,0,0,0,14,0,1790,31,0,0,0,0,0,0,0,0,6,0,0,0,17,10,0,31,31,58,1,0,1,1,0,18
Sergio Leon,BET,LIGA,F,31,1981,23,8,11,5,0,0,11,1,0,1,0,65,28,6,9,2,10,2,9,0,1,13,7,25,39,256,370,2,26,44,20,94,0,0,54,24,10,11,4,1,0,0,40,0,689,103,1,0,0,1,0,0,1,1,13,2,1,0,37,2,0,4,4,14,1,0,11,12,9,44
