,Player,POS,Valuation
396,Amine Gouiri,Centre-Forward,£4.05m
399,Steve Mandanda,Goalkeeper,£2.25m
402,Yohann Pelé,Goalkeeper,£450k
405,Ahmadou Dia,Goalkeeper,£135k
411,Boubacar Kamara,Centre-Back,£16.20m
414,Duje Caleta-Car,Centre-Back,£13.50m
417,Álvaro González,Centre-Back,£7.20m
420,Lucas Perrin,Centre-Back,£270k
423,Jordan Amavi,Left-Back,£7.20m
426,Hiroki Sakai,Right-Back,£7.20m
429,Bouna Sarr,Right-Back,£5.40m
432,Abdallah Ali Mohamed,Right-Back,£135k
435,Kevin Strootman,Defensive Midfield,£10.80m
438,Grégory Sertic,Defensive Midfield,£900k
441,Alexandre Phliponeau,Defensive Midfield,£225k
444,Morgan Sanson,Central Midfield,£25.20m
447,Valentin Rongier,Central Midfield,£13.50m
450,Maxime López,Central Midfield,£13.50m
453,Saîf-Eddine Khaoui,Attacking Midfield,£3.15m
456,Florian Chabrolle,Attacking Midfield,£135k
459,Dimitri Payet,Left Winger,£11.25m
462,Nemanja Radonjic,Left Winger,£4.50m
465,Marley Aké,Left Winger,£135k
468,Florian Thauvin,Right Winger,£40.50m
471,Isaac Lihadji,Right Winger,£450k
474,Darío Benedetto,Centre-Forward,£13.50m
477,Valère Germain,Centre-Forward,£6.30m
480,Benoît Costil,Goalkeeper,£4.95m
483,Gaëtan Poussin,Goalkeeper,£720k
486,Pablo,Centre-Back,£9.00m
489,Laurent Koscielny,Centre-Back,£4.50m
492,Mexer,Centre-Back,£3.60m
495,Vukasin Jovanovic,Centre-Back,£2.70m
498,Paul Baysse,Centre-Back,£1.80m
501,Maxime Poundjé,Left-Back,£4.50m
504,Loris Benito,Left-Back,£3.60m
507,Youssouf Sabaly,Right-Back,£9.00m
510,Enock Kwateng,Right-Back,£3.60m
513,Raoul Bellanova,Right-Back,£900k
516,Otávio,Defensive Midfield,£6.30m
519,Albert Lottin,Defensive Midfield,£450k
522,Aurélien Tchouaméni,Central Midfield,£6.30m
525,Youssef Aït Bennasser,Central Midfield,£6.30m
528,Younousse Sankharé,Central Midfield,£4.50m
531,Toma Basic,Central Midfield,£4.50m
534,Yacine Adli,Attacking Midfield,£4.95m
537,Yassine Benrahou,Attacking Midfield,£900k
540,François Kamano,Left Winger,£13.50m
543,Samuel Kalu,Right Winger,£9.00m
546,Jonathan Cafú,Right Winger,£1.80m
549,Nicolas de Préville,Centre-Forward,£3.60m
552,Jimmy Briand,Centre-Forward,£2.25m
555,Ui-jo Hwang,Centre-Forward,£1.80m
558,Josh Maja,Centre-Forward,£1.53m
561,Predrag Rajkovic,Goalkeeper,£4.50m
564,Nicolas Lemaître,Goalkeeper,£360k
567,Yehvann Diouf,Goalkeeper,£270k
570,Axel Disasi,Centre-Back,£3.15m
573,Dario Maresic,Centre-Back,£2.70m
576,Yunis Abdelhamid,Centre-Back,£2.25m
