Full Name,Position,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
DeAndre Yedlin,DF,0,2,7,37,1,0,0,5,0,0,5,467,494.4,340.7,63,90
Jordan Ayew,FW,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944,185.8
Marcos Alonso,DF,7,2,13,30,0,0,0,6,0,0,15,650,697.8,549.6,822,207.1
Romelu Lukaku,FW,16,7,14,26,0,0,1,4,0,0,18,593,831,572.4,1334,273.2
Angelo Ogbonna,DF,1,0,7,60,0,0,0,3,0,0,4,520,687.8,81.4,145,91.4
Fernando Luiz Rosa,MF,5,4,15,24,0,0,0,7,0,0,9,596,800.2,511.9,411,172.4
Kurt Zouma,DF,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235,114.4
Wilfred Ndidi,MF,0,4,9,45,0,0,0,6,2,0,4,449,640.4,230.7,299,117.2
Oriol Romeu Vidal,MF,1,0,8,47,0,0,0,11,0,0,0,474,616.2,338.7,231,118.7
Mohamed Salah,MF,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109,454.4
Jamaal Lascelles,DF,3,0,9,31,0,0,0,5,0,0,9,567,800,77.2,234,111.5
Pascal Gross,MF,7,8,10,46,0,0,0,2,0,0,24,635,735.4,1311,527,257.6
Riyad Mahrez,MF,12,13,9,51,0,0,0,2,0,0,19,682,966,924,932,282.6
Bamidele Alli,MF,9,13,16,28,0,0,0,7,0,0,12,565,775.2,878.5,934,258.8
Kasper Schmeichel,GK,0,0,8,47,1,2,0,3,0,93,17,592,687.2,11.1,0,69.9
Nicolas Otamendi,DF,4,0,15,25,1,0,0,9,0,0,21,742,846.6,224.6,363,143.7
NGolo Kante,MF,1,2,16,32,0,0,0,3,0,0,9,655,676,638.2,199,151.7
Charlie Daniels,DF,1,3,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196,125.9
Kyle Naughton,DF,0,2,9,50,1,0,0,1,0,0,11,561,670.6,253.3,141,106.9
Petr Cech,GK,0,0,11,48,0,1,0,1,0,90,7,627,722.4,0,0,71.9
Xherdan Shaqiri,MF,8,9,6,58,0,0,1,5,0,0,19,554,718,1151.6,676,255.2
Hector Bellerin,DF,2,4,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1
Aaron Mooy,MF,4,3,10,52,0,0,0,4,0,0,8,576,753.2,848.8,350,195.2
Aaron Cresswell,DF,1,7,10,60,0,0,0,7,0,0,10,613,690.2,562.7,193,145
Kevin De Bruyne,MF,8,18,19,22,0,0,0,2,0,0,25,872,1146.6,1744.2,797,368.9
Harry Kane,FW,29,2,15,34,0,0,1,5,0,0,31,781,1214.4,502.1,2355,407.4
Luka Milivojevic,MF,10,2,8,52,0,0,1,8,0,0,21,630,873.8,379,432,168.6
Nick Pope,GK,0,0,11,35,0,1,0,3,0,113,19,701,862.4,40,0,90.1
Nemanja Matic,MF,1,1,16,26,0,0,0,6,0,0,3,576,681.4,427.9,168,127.9
Davy Propper,MF,0,4,9,50,0,0,0,2,1,0,1,446,535.8,297.1,255,108.9
Andros Townsend,MF,2,9,9,48,0,0,0,3,0,0,7,552,626,1012.1,587,222.8
Ryan Bertrand,DF,0,5,8,49,0,0,0,2,0,0,4,553,515.2,589.1,286,139.3
Joe Allen,MF,2,6,6,55,0,0,0,8,0,0,12,527,691.8,512.3,339,154.3
Martin Olsson,DF,0,1,10,50,0,0,0,7,0,0,0,454,324.4,295.9,133,75.4
Thibaut Courtois,GK,0,0,15,34,0,0,0,2,0,77,4,635,549,0,0,55.2
Jack Butland,GK,0,0,6,61,1,0,0,0,0,145,16,687,1013.4,10,0,102.5
Ederson Santana de Moraes,GK,0,0,16,26,0,2,0,1,0,58,10,666,546.2,10,0,55.6
Jan Vertonghen,DF,0,1,16,31,0,0,0,4,0,0,13,778,774.4,205.7,243,122.7
Christian Eriksen,MF,11,10,17,33,0,0,0,0,0,0,23,826,1072.6,1487,1021,358.2
Hugo Lloris,GK,0,0,15,35,0,0,0,1,0,87,6,694,726.4,0.1,0,72.3
Dale Stephens,MF,0,3,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176,107.7
Jamie Vardy,FW,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222,248.6
Granit Xhaka,MF,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3
Christopher Schindler,DF,0,2,9,53,0,0,0,6,1,0,15,692,928,107.1,149,119.1
Pablo Zabaleta,DF,0,1,10,62,1,0,0,9,0,0,6,563,635,293.7,77,100.7
Shane Duffy,DF,0,2,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361,148.9
Abdoulaye Doucoure,MF,7,4,9,63,0,0,0,10,0,0,16,679,859,595.8,537,199.7
David De Gea,GK,0,0,18,28,0,0,0,0,0,115,10,757,821.2,10,0,83.4
Cesar Azpilicueta,DF,2,6,15,38,1,0,0,1,0,0,25,913,967.4,535.7,168,167.5
Ben Foster,GK,0,0,10,55,0,0,0,2,0,99,11,635,716.8,20,0,73.8
Nathan Ake,DF,2,3,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287,133.5
Ahmed El Sayed Hegazi,DF,2,0,10,55,0,0,0,4,0,0,11,646,962.8,99.5,196,126.1
Jordan Pickford,GK,0,0,10,58,0,1,0,0,0,121,16,724,873.6,30.1,4,90.7
Harry Maguire,DF,2,4,9,60,0,0,0,7,0,0,10,716,955.8,254.3,478,168.8
Mathew Ryan,GK,0,0,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1
Lewis Dunk,DF,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425,157.9
Jonas Lossl,GK,0,1,10,58,1,2,0,1,0,103,11,701,846.8,30,0,87.8
Mathias Jorgensen,DF,0,3,10,58,0,0,0,6,0,0,9,623,768.6,123.6,169,106.2
Lukasz Fabianski,GK,0,0,9,56,0,3,0,0,0,137,14,772,1087.8,10,0,109.9
Alfie Mawson,DF,2,1,9,56,0,0,0,3,0,0,7,662,848.4,86.4,254,119.4
Jack Cork,MF,2,1,12,39,0,0,0,7,0,0,6,533,589.6,332.8,265,119
Asmir Begovic,GK,0,0,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8
