Player,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Aitor Fernandez,LEV,LIGA,G,12,1080,12,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,184,309,0,5,100,0,7,1,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,15,15,81,0,0,0,0,0,0
Haitam Aleesami,ASC,FRAN,D,12,1080,12,0,0,3,0,0,1,0,0,0,0,2,1,18,23,3,10,0,8,2,5,26,14,15,4,401,508,2,26,62,5,60,0,1,2,1,1,0,0,0,0,0,11,0,804,10,0,0,0,0,0,0,3,2,3,0,0,0,17,2,0,29,29,14,1,0,0,0,1,10
Didier Ndong,DIJ,FRAN,M,12,1080,12,0,0,2,0,0,0,0,0,0,0,11,6,19,15,1,6,0,6,0,3,22,15,18,8,491,566,1,9,77,8,47,0,0,3,2,0,8,4,0,0,0,12,0,729,10,0,0,0,0,1,0,0,0,5,0,0,0,13,4,0,10,10,39,1,0,2,1,0,14
Jesus Navas,SEV,LIGA,M/D,12,1080,12,0,0,0,0,0,0,3,0,3,0,5,1,12,76,16,18,2,15,0,0,9,6,5,12,519,648,16,6,69,19,44,0,0,3,1,0,2,0,0,0,0,6,0,975,31,0,0,0,0,0,0,0,0,13,0,0,0,13,5,0,22,22,41,1,0,0,0,0,26
Matz Sels,STR,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,214,316,0,3,99,0,4,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,7,109,0,0,0,0,0,0
Mike Maignan,LIL,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,156,288,0,1,94,0,4,1,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,7,66,0,0,0,0,0,0
Saul Niguez,ATL,LIGA,M,12,1080,12,0,0,4,0,0,1,0,0,0,0,13,2,17,10,0,2,0,2,0,3,27,20,28,12,477,577,0,34,70,9,82,0,0,8,2,1,5,0,0,0,0,10,0,772,16,0,0,0,0,0,0,0,0,4,0,0,0,7,7,0,22,22,30,1,0,2,1,0,12
Alexandre Oukidja,FCM,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,164,316,0,8,111,1,9,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,10,10,93,0,0,0,0,0,1
Regis Gurtner,ASC,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,4,212,345,0,6,103,0,9,1,1,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,1,0,0,0,17,2,0,9,9,108,0,0,0,0,0,0
Vitorino Hilton,MTP,FRAN,D,12,1080,12,0,0,2,0,0,0,1,0,1,0,10,0,23,1,0,10,2,9,0,14,12,7,10,10,500,614,0,41,81,2,65,1,0,10,0,0,0,0,0,0,0,0,0,759,15,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,43,43,80,0,0,0,0,0,2
Tomas Vaclik,SEV,LIGA,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,289,0,1,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,7,7,69,0,0,0,0,0,0
Diego Lopez,ESP,LIGA,G,12,1080,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,219,365,0,2,124,1,7,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,6,6,78,0,0,0,0,0,1
Fabien Centonze,FCM,FRAN,D,12,1080,12,0,0,2,0,0,0,0,0,0,0,4,1,22,26,7,7,0,7,0,5,40,24,13,18,379,494,7,16,68,13,87,0,0,2,0,0,2,1,0,0,0,12,0,828,12,0,0,0,0,0,0,0,0,6,0,0,0,18,3,0,31,31,25,0,0,0,0,0,26
Steve Mandanda,OM,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222,310,0,3,113,1,4,1,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,5,5,60,0,0,0,0,0,1
Ludovic Butelle,SCO,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,149,256,0,2,105,0,4,3,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,6,6,70,0,0,0,0,0,0
Bruno Ecuele Manga,DIJ,FRAN,D,12,1080,12,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,3,0,3,0,10,9,6,2,5,518,590,0,28,69,3,44,0,0,7,0,0,1,0,0,0,0,6,0,716,10,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,43,43,52,0,0,0,1,0,4
Baptiste Santamaria,SCO,FRAN,M,12,1066,12,0,1,0,0,0,1,0,0,0,0,18,5,25,4,0,5,1,5,0,1,42,23,5,12,391,491,0,22,72,8,84,0,0,3,1,0,15,4,1,0,1,13,0,685,12,0,0,0,0,0,0,0,0,9,0,0,0,16,4,0,13,13,57,0,0,0,0,0,13
Diego Carlos,SEV,LIGA,D,12,1065,12,0,1,3,0,0,0,0,0,0,0,8,1,7,1,0,1,0,1,0,8,18,11,15,3,492,590,0,26,53,4,51,1,0,7,0,0,1,1,0,0,0,1,0,721,10,0,0,0,0,0,0,0,0,1,0,0,0,13,4,0,56,56,47,0,0,0,0,0,4
Damien Le Tallec,MTP,FRAN,M/D,12,1063,12,0,2,0,0,0,0,0,0,0,0,6,1,11,4,0,5,0,5,0,9,29,16,24,11,310,381,0,21,47,0,59,0,0,4,1,0,2,0,0,0,0,4,0,515,15,0,0,0,0,0,0,0,0,1,0,0,0,10,3,0,17,17,27,0,0,0,0,0,2
Jan Oblak,ATL,LIGA,G,12,1056,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,266,0,1,81,1,5,1,1,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,82,0,0,0,0,0,1
Jose Campana,LEV,LIGA,M,12,1051,12,0,2,0,0,0,2,2,0,1,1,17,4,14,62,16,36,5,24,10,1,13,8,7,15,484,606,3,14,65,17,59,0,1,7,2,1,10,2,1,0,0,11,0,868,25,0,0,0,0,9,1,41,35,13,2,2,1,13,2,0,14,14,34,1,1,1,1,1,22
Victor Sanchez,ESP,LIGA,M/D,12,1035,12,0,2,4,0,0,0,0,0,0,0,5,0,14,53,13,16,0,6,10,3,37,21,23,18,512,606,5,16,73,8,78,1,0,1,0,0,4,0,0,0,0,16,0,840,8,0,0,0,0,8,2,20,11,1,1,0,0,18,2,1,11,11,30,0,0,0,0,0,11
Marc Roca,ESP,LIGA,M,12,1005,12,0,5,1,0,0,1,0,0,0,0,13,2,16,5,0,5,0,5,0,3,27,19,26,7,580,681,0,10,81,1,45,1,1,3,2,1,10,0,0,0,0,5,0,820,5,1,1,0,0,0,0,0,0,6,1,0,0,18,2,0,23,23,72,1,0,0,0,1,2
Habib Diallo,FCM,FRAN,F,12,1001,12,0,1,1,0,0,8,0,0,0,0,38,16,1,2,0,9,0,9,0,3,1,1,21,10,150,215,0,47,25,7,65,0,0,23,14,8,15,2,0,0,0,15,0,378,59,1,1,0,0,0,0,0,0,5,1,0,0,16,3,0,17,17,1,0,0,6,3,5,10
Romain Thomas,SCO,FRAN,D,12,992,12,0,2,2,0,0,0,1,0,1,0,1,1,18,0,0,2,0,1,0,8,14,8,9,9,371,440,0,43,46,2,65,0,1,1,1,0,0,0,0,0,0,1,0,568,3,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,48,48,55,0,0,0,0,0,2
Jordi Masip,REV,LIGA,G,12,990,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,152,316,0,1,90,0,2,1,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,4,4,101,0,0,0,0,0,0
Baptiste Reynet,TFC,FRAN,G,12,990,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,250,405,0,2,102,0,3,0,0,0,0,0,0,0,0,0,0,0,0,508,1,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,10,10,114,0,0,0,0,0,0
Kiko Olivas,REV,LIGA,D,12,990,12,0,0,1,0,0,1,0,0,0,0,4,3,15,0,0,1,0,1,0,7,13,7,4,9,359,397,0,14,53,4,40,0,1,4,3,1,0,0,0,0,0,2,0,523,7,0,0,0,0,0,0,0,0,1,0,0,0,14,3,0,45,45,26,0,0,1,0,1,5
Issiaga Sylla,TFC,FRAN,M/D,12,990,12,0,0,1,0,0,0,1,0,1,0,11,1,27,37,4,9,1,8,0,2,32,18,22,8,402,523,4,35,68,13,87,1,1,10,1,0,1,0,0,1,0,9,0,880,26,0,0,0,0,0,0,0,0,10,0,0,0,22,2,1,35,35,16,0,0,1,0,0,17
Anthony Lopes,OL,FRAN,G,12,990,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,271,314,0,3,114,0,4,0,0,0,0,0,0,0,0,0,0,0,1,459,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,6,6,47,0,0,0,0,0,0
Martin Valjent,MRC,LIGA,D,12,990,12,0,0,1,0,0,0,0,0,0,0,7,1,12,0,0,2,1,2,0,3,9,6,6,4,288,351,0,21,37,2,36,0,0,5,1,0,2,0,0,0,0,3,0,461,10,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,55,55,27,0,0,0,0,0,2
Hamari Traore,REN,FRAN,D,12,973,12,0,2,1,0,0,0,3,0,3,0,11,1,15,21,6,11,1,8,0,1,25,13,20,7,377,477,6,16,56,15,62,0,0,7,1,0,4,0,0,0,0,3,0,761,18,0,0,0,0,0,0,1,0,7,0,0,0,11,2,1,21,21,19,1,0,0,0,0,27
Renaud Ripart,NO,FRAN,F,12,969,12,0,2,0,0,0,2,1,0,1,0,34,9,3,16,5,12,4,11,0,0,16,7,11,26,154,225,5,40,38,8,87,0,0,20,7,2,14,2,0,0,0,24,0,457,49,2,2,0,0,0,0,0,0,9,0,0,0,11,4,0,15,15,9,1,0,4,2,2,18
Eduardo Camavinga,REN,FRAN,M,12,968,12,0,2,2,0,0,0,1,0,1,0,9,2,15,0,0,2,1,1,0,3,42,21,26,28,361,408,0,6,61,5,81,0,0,4,2,0,5,0,0,0,0,7,0,586,5,0,0,0,0,0,0,0,0,2,0,0,0,12,3,0,13,13,23,0,0,0,1,0,10
Sergi,REV,LIGA,F,12,963,12,0,2,2,0,0,3,0,0,0,0,25,5,2,7,0,3,0,3,0,0,2,0,19,16,141,212,0,11,18,15,43,0,1,17,3,2,8,2,1,0,0,12,0,372,32,0,0,0,0,0,0,0,0,10,0,0,0,14,3,0,5,5,9,1,0,3,3,2,24
Oscar Plano,REV,LIGA,M,12,949,12,0,3,2,0,0,3,2,0,2,0,17,7,12,14,4,11,3,9,0,1,10,5,20,22,182,258,3,13,50,6,51,0,0,11,4,3,6,3,0,0,1,12,0,420,19,0,0,0,0,1,0,5,3,6,0,0,0,10,2,0,6,6,12,1,0,0,2,1,11
Salva,MRC,LIGA,M,12,919,12,0,1,4,0,0,2,0,0,0,0,10,5,1,47,8,19,2,7,12,1,8,6,13,2,536,611,0,2,60,1,13,0,1,4,2,2,6,3,0,0,0,9,0,733,9,1,1,0,0,10,0,42,33,5,4,2,0,12,3,0,8,8,34,1,0,1,0,1,8
William Vainqueur,TFC,FRAN,M,12,893,12,0,6,3,0,0,0,0,0,0,0,10,3,20,7,2,3,0,3,0,3,35,21,21,11,524,578,2,14,78,9,69,0,0,1,0,0,9,3,0,0,0,14,0,761,12,0,0,0,0,0,0,1,0,6,0,0,0,18,1,0,11,11,19,0,0,0,0,0,13
Ante Budimir,MRC,LIGA,F,12,886,12,0,6,2,0,0,3,0,0,0,0,17,4,0,1,1,1,1,1,0,3,11,6,23,26,117,193,1,53,15,6,92,0,0,15,3,3,2,1,0,0,0,12,0,337,38,0,0,0,0,0,0,0,0,3,0,0,0,14,2,0,10,10,1,0,0,8,2,1,10
Lago Junior,MRC,LIGA,F/M,12,881,12,0,5,2,0,0,2,0,0,0,0,14,4,3,20,5,8,1,8,0,2,15,10,23,15,208,268,5,14,54,11,55,0,0,10,3,2,4,1,0,0,0,17,0,468,44,1,1,0,0,0,0,0,0,13,0,0,0,11,1,2,8,8,7,0,0,3,2,1,29
Haris Belkebla,BRE,FRAN,M,12,1011,11,1,1,2,0,0,0,0,0,0,0,2,1,21,3,0,5,0,5,0,3,25,11,15,16,417,489,0,9,61,8,58,1,0,1,1,0,1,0,0,0,0,15,0,650,3,0,0,0,0,0,0,0,0,2,0,0,0,10,5,0,12,12,35,0,0,1,1,0,12
Virgil van Dijk,LIV,EPL,D,11,990,11,0,0,1,0,0,1,0,0,0,0,8,3,12,0,0,2,1,2,0,6,7,5,5,6,737,847,0,61,65,0,73,0,0,6,3,1,2,0,0,0,0,0,0,957,16,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,53,53,44,1,0,1,0,0,1
David de Gea,MUN,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,146,213,0,2,76,0,4,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,4,4,33,0,0,0,0,0,0
Ruben Vezo,LEV,LIGA,D,11,990,11,0,0,3,0,0,0,0,0,0,0,6,2,16,0,0,0,0,0,0,12,16,9,14,12,349,442,0,36,41,1,64,0,1,6,2,0,0,0,0,0,0,2,0,595,7,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,60,60,40,0,0,0,2,0,1
Sokratis Papastathopoulos,ARS,EPL,D,11,990,11,0,0,2,0,0,1,0,0,0,0,3,1,10,0,0,2,2,2,0,16,14,9,8,9,473,543,0,35,44,0,57,1,0,3,1,1,0,0,0,0,0,3,0,674,8,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,42,42,35,0,0,1,0,0,0
Andrei Girotto,FCN,FRAN,M,11,990,11,0,0,1,0,0,0,0,0,0,0,12,3,14,1,0,0,0,0,0,7,33,20,12,6,476,558,0,33,59,2,74,0,0,8,3,0,4,0,0,1,0,1,0,709,13,0,0,0,0,0,0,0,0,5,0,0,0,7,6,0,48,48,33,0,0,1,0,0,3
Samir Handanovic,INT,SERI,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,212,261,0,2,87,0,5,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,7,7,60,0,0,0,0,0,0
Issa Diop,WHU,EPL,D,11,990,11,0,0,4,0,0,0,0,0,0,0,6,3,16,1,0,1,1,1,0,5,14,8,15,6,372,440,0,28,63,4,52,0,1,6,3,0,0,0,0,0,0,1,0,577,10,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,43,43,18,0,0,0,1,0,5
John McGinn,AVL,EPL,M,11,990,11,0,0,1,0,0,3,2,0,1,1,32,14,13,26,7,15,3,12,1,0,31,20,14,30,241,299,5,5,69,29,95,0,0,13,8,3,19,6,0,0,0,29,0,581,35,0,0,0,0,3,1,10,8,11,1,0,0,18,2,0,9,9,33,1,0,0,3,2,41
Cesar Azpilicueta,CHE,EPL,D,11,990,11,0,0,0,0,0,0,2,0,2,0,2,0,14,30,11,13,2,11,0,2,28,16,11,3,538,694,11,28,52,3,62,0,0,1,0,0,1,0,0,0,0,3,0,1004,24,0,0,0,0,0,0,0,0,8,0,0,0,17,2,0,28,28,19,0,0,1,0,0,5
Dani Parejo,VAL,LIGA,M,11,990,11,0,0,2,0,0,6,2,0,0,2,16,8,8,59,23,22,2,7,13,2,16,10,8,36,637,734,2,3,76,15,70,0,0,6,5,5,10,3,1,0,0,13,0,952,10,5,5,0,0,13,5,51,39,5,6,2,1,17,2,0,5,5,87,1,0,2,1,5,20
Martin Odegaard,RSO,LIGA,M,11,990,11,0,0,3,0,0,2,3,2,3,0,15,6,7,46,13,28,5,15,10,0,16,11,16,13,511,602,1,4,67,22,55,0,0,8,5,2,7,1,0,0,0,15,0,830,34,0,0,0,0,14,2,36,27,11,1,0,0,12,4,0,2,2,20,3,0,0,0,1,44
Marko Dmitrovic,EIB,LIGA,G,11,990,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,144,321,0,2,113,0,4,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,1,0,0,0,16,3,0,8,8,95,0,0,0,0,0,0
Matthew Lowton,BUR,EPL,D,11,990,11,0,0,1,0,0,0,1,0,1,0,1,0,22,35,9,11,2,10,0,5,22,13,10,7,253,370,9,16,44,5,50,1,0,0,0,0,1,0,0,0,0,2,0,676,7,0,0,0,0,0,0,0,0,10,0,0,0,18,3,0,32,32,34,0,0,0,0,0,9
Yunis Abdelhamid,SDR,FRAN,D,11,990,11,0,0,0,0,0,1,0,0,0,0,6,2,19,0,0,1,0,1,0,5,18,13,4,9,465,555,0,39,50,2,68,0,1,6,2,1,0,0,0,0,0,3,0,685,10,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,38,38,42,0,0,0,1,0,3
Salvatore Sirigu,TOR,SERI,G,11,990,11,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,186,289,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,6,6,101,0,0,0,0,0,0
Victor Diaz,GRA,LIGA,D,11,990,11,0,0,1,0,0,0,2,0,1,1,8,0,12,46,10,12,4,10,0,6,23,15,4,3,260,354,10,17,37,2,45,0,0,1,0,0,7,0,0,1,0,1,0,653,5,0,0,0,0,1,0,1,1,5,0,0,0,13,6,0,26,26,35,0,0,0,0,0,7
Mathew Ryan,BHA,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293,366,0,2,113,0,2,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,7,7,57,0,0,0,0,0,0
Martin Dubravka,NEW,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,130,264,0,3,79,0,3,2,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,10,10,86,0,0,0,0,0,0
Tom Heaton,AVL,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,158,299,0,1,77,0,3,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,7,7,67,0,0,0,0,0,0
Pervis Estupinan,OSA,LIGA,D,11,990,11,0,0,2,0,0,1,1,0,1,0,6,2,20,43,14,11,1,10,0,2,27,13,12,13,356,454,14,13,83,17,70,0,2,5,2,1,1,0,0,0,0,10,0,814,20,0,0,0,0,0,0,0,0,7,1,0,0,11,3,0,20,20,16,0,0,1,1,0,29
George Baldock,SHU,EPL,D,11,990,11,0,0,3,0,0,0,1,0,1,0,6,2,10,41,10,4,0,3,0,0,20,12,14,11,241,306,10,9,42,9,49,0,0,4,2,0,2,0,0,0,0,8,0,584,22,0,0,0,0,0,0,0,0,14,0,0,0,8,5,0,31,31,5,0,0,2,0,0,18
Pierre-Emerick Aubameyang,ARS,EPL,F,11,990,11,0,0,2,0,0,8,0,0,0,0,31,13,3,31,8,8,1,8,0,0,7,3,5,5,174,242,8,4,20,4,20,0,0,20,11,6,11,2,2,0,0,12,0,397,43,0,0,0,0,0,0,0,0,13,1,1,1,15,2,0,2,2,5,0,0,10,4,5,10
Julien Faussurier,BRE,FRAN,M,11,990,11,0,0,0,0,0,2,2,0,2,0,6,4,16,26,9,13,2,10,0,6,14,8,5,7,309,406,9,10,58,2,33,0,1,6,4,2,0,0,0,0,0,6,0,674,17,0,0,0,0,0,0,1,0,5,0,0,0,13,5,0,21,21,30,1,0,1,0,0,7
Steve Cook,BOU,EPL,D,11,990,11,0,0,2,0,0,0,0,0,0,0,4,0,21,0,0,2,0,1,1,14,8,4,7,8,376,484,0,43,53,2,60,0,0,4,0,0,0,0,0,0,0,1,0,653,8,0,0,0,0,0,0,0,0,1,0,0,0,13,3,1,82,82,35,0,0,1,0,0,2
Nick Pope,BUR,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,1,0,1,111,292,0,6,96,0,7,0,0,0,0,0,0,0,0,0,0,0,0,393,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,7,7,77,0,1,0,0,0,0
Ashley Westwood,BUR,EPL,M,11,990,11,0,0,3,0,0,0,2,0,0,2,6,0,6,39,13,18,3,11,5,8,17,13,18,10,401,537,4,4,84,0,31,0,0,3,0,0,3,0,0,0,0,2,0,670,5,0,0,0,0,2,1,25,24,3,1,0,0,18,3,0,8,8,37,2,0,1,0,0,3
Xavier Chavalerin,SDR,FRAN,M,11,990,11,0,0,3,0,0,1,0,0,0,0,9,2,12,36,12,21,3,10,11,4,25,18,16,6,341,408,3,4,60,2,36,0,0,3,1,0,6,1,1,0,0,6,0,568,6,0,0,0,0,9,3,18,17,2,0,0,0,4,8,0,13,13,38,0,0,1,0,0,5
Aaron Ramsdale,BOU,EPL,G,11,990,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,162,298,0,1,91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,11,11,65,0,0,0,0,0,0
Benjamin Lecomte,ASM,FRAN,G,11,990,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,256,0,6,66,0,6,2,1,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,12,12,67,0,0,0,0,0,0
Predrag Rajkovic,SDR,FRAN,G,11,990,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,202,326,0,3,85,0,3,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,8,8,61,0,0,0,0,0,0
Dan Burn,BHA,EPL,D,11,990,11,0,0,0,0,0,0,0,0,0,0,6,0,17,16,3,10,1,10,0,6,22,12,13,5,446,564,3,36,54,9,72,0,0,4,0,0,2,0,0,0,0,10,0,838,9,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,34,34,24,1,0,2,2,0,18
Kepa Arrizabalaga,CHE,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,260,334,0,0,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,3,3,59,0,1,0,0,0,0
Declan Rice,WHU,EPL,M/D,11,990,11,0,0,2,0,0,0,0,0,0,0,7,2,23,0,0,3,0,3,0,3,33,19,11,3,482,538,0,16,86,14,66,0,0,0,0,0,7,2,0,0,0,7,0,678,3,0,0,0,0,0,0,0,0,1,0,0,0,17,3,1,9,9,45,0,0,0,0,0,17
James Ward-Prowse,SOU,EPL,M,11,990,11,0,0,1,0,0,2,0,0,0,0,18,7,13,53,19,15,2,4,11,6,20,10,11,10,269,362,2,14,57,5,46,0,0,6,3,2,12,4,0,0,0,6,0,572,14,1,1,0,0,8,3,39,36,5,6,3,0,27,2,0,17,17,11,0,0,0,0,2,6
Rui Patricio,WLV,EPL,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,127,217,0,3,82,0,3,1,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,4,4,65,0,0,0,0,0,0
Nathan Ake,BOU,EPL,D,11,990,11,0,0,1,0,0,1,1,0,1,0,10,2,20,2,0,4,2,3,0,9,13,11,3,7,429,491,0,16,58,3,39,0,0,10,2,1,0,0,0,0,0,0,0,650,15,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,47,47,18,0,0,1,0,1,3
Dean Henderson,SHU,EPL,G,11,990,11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,288,0,7,92,0,7,1,0,1,0,0,0,0,0,0,0,0,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,9,9,70,0,0,0,0,0,0
Fernando,SEV,LIGA,M,11,990,11,0,0,5,0,0,0,1,0,0,1,4,0,23,0,0,4,0,3,0,3,21,14,16,10,508,577,0,28,64,1,60,1,0,4,0,0,0,0,0,0,0,4,0,705,11,0,0,0,0,0,0,0,0,1,0,0,0,12,5,0,17,17,39,0,0,1,0,0,4
Ben Mee,BUR,EPL,D,11,990,11,0,0,0,0,0,0,0,0,0,0,5,2,18,0,0,4,1,4,0,16,10,7,4,10,256,405,0,51,56,0,69,1,0,5,2,0,0,0,0,0,0,0,0,544,17,0,0,0,0,0,0,0,0,2,0,0,0,18,3,0,47,47,24,0,0,1,0,0,0
Ruben,OSA,LIGA,G,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,133,272,0,3,87,1,5,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,7,7,80,0,0,0,0,0,1
Enda Stevens,SHU,EPL,D,11,990,11,0,0,1,0,0,0,2,1,2,0,7,0,11,32,3,11,2,8,1,3,23,15,13,5,344,439,3,10,74,24,62,0,1,5,0,0,2,0,0,0,0,9,0,742,16,0,0,0,0,0,0,0,0,16,0,0,0,8,5,0,19,19,22,0,0,1,0,0,31
Pau Torres,VIL,LIGA,D,11,990,11,0,0,1,0,0,1,1,0,1,0,3,1,8,0,0,3,1,2,0,11,14,9,5,1,553,665,0,14,68,1,29,0,1,3,1,1,0,0,0,0,0,3,0,791,5,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,51,51,76,1,0,0,0,1,3
