Player,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Pierrick Valdivia,NO,FRAN,M,2,68,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,30,35,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1
Bernardo,BHA,EPL,D,2,68,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,1,0,0,13,16,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,1
Vasco Regini,SMP,SERI,D,1,66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,0,11,16,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Adil Aouchiche,PSG,FRAN,M,1,65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,24,30,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
Yves Bissouma,BHA,EPL,M,3,63,1,2,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,1,3,0,22,28,1,0,7,1,2,0,0,0,0,0,1,1,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Raoul Bellanova,GDB,FRAN,D,1,63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,16,22,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
Alexis Sanchez,INT,SERI,F/M,3,63,1,2,0,0,1,1,1,0,0,0,0,2,2,0,5,3,2,0,1,1,0,0,0,2,4,25,33,2,1,3,0,5,0,0,2,2,1,0,0,0,0,0,2,0,51,8,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Rene Krhin,FCN,FRAN,M,1,61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,26,27,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
Andre Silva,MIL,SERI,F,1,61,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,2,9,12,0,0,1,1,5,0,0,2,0,0,0,0,0,0,0,2,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mathias Suarez,MTP,FRAN,D,1,61,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,9,15,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Lyle Foster,ASM,FRAN,F,2,61,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,11,17,0,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,1,0,1
Ibrahim Cisse,SCO,FRAN,D,1,61,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,2,0,42,48,1,1,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,2
Diogo Dalot,MUN,EPL,D,1,60,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,1,0,30,41,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2
Loic Mbe Soh,PSG,FRAN,D,1,59,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,66,69,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
