ID,Full Name,Team,Position,Total Points,Points Per Game,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index,
527,André Carrillo,57,MF,64,2.3,1529,1,3,4,31,0,0,0,2,0,0,4,275,271.2,331.2,300,90.3,    
409,Etienne Capoue,57,MF,48,2.1,1537,1,1,4,29,0,0,0,3,0,0,0,262,280.2,165.9,150,59.7,    
400,Sebastian Prödl,57,DF,42,2,1566,0,0,5,29,0,0,0,5,0,0,0,267,276.4,25.9,89,39.3,    
415,Roberto Pereyra,57,MF,81,2.5,1610,5,3,1,34,0,0,0,3,0,0,5,299,346,370.6,472,118.8,    
407,Francisco Femenía Far,57,DF,65,2.8,1709,1,1,5,34,0,0,0,2,0,0,9,389,327.2,302.8,113,74.5,    
404,Daryl Janmaat,57,DF,59,2.6,1818,3,1,2,37,0,0,0,3,0,0,3,342,445,230.6,253,92.9,    
417,Troy Deeney,57,FW,73,2.5,1836,5,2,6,30,0,0,2,1,1,0,7,241,343,349.4,566,125.3,    
408,Tom Cleverley,57,MF,58,2.5,1900,1,2,6,33,0,0,1,1,1,0,3,300,332.2,464.8,124,92.1,    
397,Heurelho Gomes,57,GK,64,2.7,2128,0,0,5,40,0,0,0,0,0,61,4,394,457,0.2,0,45.6,    
405,Adrian Mariappa,57,DF,58,2.1,2206,0,0,6,43,0,0,0,4,0,0,2,378,462,59.4,106,62.8,    
403,Christian Kabasele,57,DF,68,2.4,2329,2,0,6,43,1,0,0,5,0,0,2,407,645,52,137,83.7,    
401,José Holebas,57,DF,72,2.6,2381,0,4,6,47,0,0,0,7,0,0,6,412,510,632.8,125,127,    
501,Richarlison de Andrade,57,MF,125,3.3,2817,5,8,8,54,0,0,0,4,0,0,4,304,497,384.7,1217,209.3,    
414,Abdoulaye Doucouré,57,MF,136,3.7,3324,7,4,9,63,0,0,0,10,0,0,16,679,859,595.8,537,199.7,    
351,Kristoffer Nordfeldt,80,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
355,Stephen Kingsley,80,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
364,Jefferson Montero,80,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
368,Modou Barrow,80,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
561,Joe Rodon,80,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
576,Erwin Mulder,80,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
362,Jay Fulton,80,MF,1,0.5,17,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.1,0,0,    
353,Angel Rangel,80,DF,4,1,154,0,0,0,3,0,0,0,0,0,0,0,28,24.2,22.1,2,4.8,    
485,Kyle Bartley,80,DF,5,1,233,0,0,0,4,0,0,0,2,0,0,0,29,75,21.2,16,11.2,    
372,Oliver McBurnie,80,FW,16,1.5,267,0,1,0,5,0,0,0,0,0,0,0,45,38.4,30.4,105,17.4,    
598,Connor Roberts,80,DF,7,1.8,267,0,0,0,4,0,0,0,0,0,0,0,41,26.2,12.8,2,4.1,    
361,Leon Britton,80,MF,10,2,301,0,0,3,1,0,0,0,1,0,0,0,38,18.4,8.5,4,3,    
360,Wayne Routledge,80,MF,17,1.1,420,0,0,1,11,0,0,0,1,0,0,0,57,56.6,95.7,76,22.6,    
369,Luciano Narsingh,80,MF,30,1.7,614,1,0,1,15,0,0,0,0,0,0,3,97,109.4,149.5,155,41.4,    
535,Renato Sanches,80,MF,20,1.7,699,0,0,2,10,0,0,0,1,0,0,0,83,71.8,135,64,27,    
542,Wilfried Bony,80,FW,33,2.2,701,2,1,2,8,0,0,0,2,0,0,3,103,119,70.6,211,39.3,    
370,Roque Mesa,80,MF,18,1.6,753,0,0,2,16,0,0,0,3,0,0,0,125,89,85.7,34,20.9,    
201,Andy King,80,MF,51,2.3,1247,3,1,1,26,0,0,0,2,0,0,1,225,239.8,116.9,204,56.2,    
366,Nathan Dyer,80,MF,41,1.7,1300,0,1,3,21,0,0,0,2,0,0,0,139,103.8,211.1,174,48.7,    
365,Leroy Fer,80,MF,41,2,1394,1,1,4,26,0,0,0,5,0,0,0,201,240.6,180,139,56,    
374,Tammy Abraham,80,FW,86,2.8,1715,5,3,4,31,0,0,0,0,0,0,11,238,269.2,182.6,693,114.2,    
449,André Ayew,80,MF,77,2.6,1834,3,5,3,42,0,0,1,5,0,0,2,249,319.4,283.1,429,102.7,    
363,Sung-yueng Ki,80,MF,73,2.9,1865,2,2,5,29,0,0,0,2,0,0,9,340,307.2,338.1,152,79.7,    
356,Mike van der Hoorn,80,DF,74,3.1,1944,1,0,8,27,0,0,0,4,0,0,4,396,460.6,72.6,160,69.4,    
519,Sam Clucas,80,MF,75,2.6,2039,3,1,5,30,0,0,0,2,0,0,4,305,362.4,270.1,233,86.2,    
367,Tom Carroll,80,MF,85,2.3,2562,0,4,7,39,0,0,0,3,0,0,6,431,452.8,748.6,172,137.5,    
354,Federico Fernández,80,DF,85,2.8,2676,1,1,7,44,1,0,0,5,0,0,10,500,736,75.4,187,100,    
373,Jordan Ayew,80,FW,108,3,2850,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944,185.8,    
352,Kyle Naughton,80,DF,101,3,3030,0,2,9,50,1,0,0,1,0,0,11,561,670.6,253.3,141,106.9,    
358,Martin Olsson,80,DF,89,2.5,3149,0,1,10,50,0,0,0,7,0,0,0,454,324.4,295.9,133,75.4,    
350,Lukasz Fabianski,80,GK,157,4.1,3420,0,0,9,56,0,3,0,0,0,137,14,772,1087.8,10,0,109.9,    
357,Alfie Mawson,80,DF,112,2.9,3420,2,1,9,56,0,0,0,3,0,0,7,662,848.4,86.4,254,119.4,    
75,Paul Robinson,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
83,Dean Marney,90,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
545,Adam Legzdins,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
554,Anders Lindegaard,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
575,Fredrik Ulvestad,90,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
623,Aiden O'Neill,90,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
646,Dwight McNeil,90,FW,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,    
89,Jonathan Walters,90,MF,3,1,36,0,0,0,2,0,0,0,0,0,0,0,3,1.2,0.7,12,1.1,    
185,Nahki Wells,90,FW,9,1,46,0,0,0,3,0,0,0,0,0,0,0,20,7.2,3.5,37,4.7,    
392,Georges-Kévin Nkoudou,90,MF,11,1.2,223,0,0,1,2,0,0,0,1,0,0,0,21,26,49.3,41,11.2,    
74,Tom Heaton,90,GK,8,2,305,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0,0,5.3,    
81,Charlie Taylor,90,DF,23,2.1,949,0,0,2,12,0,0,0,3,0,0,0,132,184.2,86.8,4,27.5,    
91,Sam Vokes,90,FW,63,2.1,977,4,2,2,16,0,0,0,3,0,0,7,170,208.4,128,384,71.1,    
88,Ashley Westwood,90,MF,35,1.8,1105,0,1,2,17,0,0,0,2,0,0,1,189,182.4,134.8,90,40.7,    
334,Phil Bardsley,90,DF,33,2.5,1125,0,0,4,13,0,0,0,5,0,0,0,193,229.4,117.5,35,38.3,    
87,Robbie Brady,90,MF,56,3.7,1277,1,4,6,12,0,0,0,3,0,0,7,216,273.8,477.9,221,97.3,    
82,Scott Arfield,90,MF,56,3.1,1330,2,2,6,15,0,0,0,3,0,0,6,185,233.2,120.2,246,60.1,    
80,Kevin Long,90,DF,57,3.6,1440,1,2,4,21,1,0,0,1,0,0,6,282,460,64.8,220,74.5,    
518,Chris Wood,90,FW,104,4.3,1621,10,1,10,11,0,0,0,1,0,0,20,314,442,203.5,692,133.8,    
153,Aaron Lennon,90,MF,65,2.2,1906,0,4,6,30,0,0,0,2,0,0,0,204,232.2,203.2,297,73.3,    
85,Steven Defour,90,MF,62,2.6,1998,1,1,12,17,0,0,0,6,0,0,0,353,353.8,310.8,117,78.4,    
93,Ashley Barnes,90,FW,92,2.6,2150,9,0,5,23,0,0,0,10,0,0,9,290,407.2,274.8,797,145.8,    
76,Matthew Lowton,90,DF,89,3.4,2295,0,3,8,26,0,0,0,1,0,0,4,450,574.6,264.9,46,89,    
86,Jeff Hendrick,90,MF,85,2.5,2326,2,2,9,28,0,0,0,1,0,0,1,307,265.6,408.2,335,100.9,    
78,Stephen Ward,90,DF,102,3.6,2460,1,1,9,27,0,0,0,1,0,0,9,484,498.4,270.9,82,85.4,    
77,Ben Mee,90,DF,90,3.1,2610,0,0,9,27,0,0,0,5,0,0,6,491,748.6,74.5,349,117.3,    
79,James Tarkowski,90,DF,101,3.3,2790,0,1,11,30,0,0,0,5,0,0,4,539,822,98.4,253,117.8,    
84,Johann Berg Gudmundsson,90,MF,117,3.3,2831,2,9,10,33,0,0,0,2,0,0,7,467,599,1052,539,219.2,    
469,Nick Pope,90,GK,152,4.3,3114,0,0,11,35,0,1,0,3,0,113,19,701,862.4,40,0,90.1,    
90,Jack Cork,90,MF,100,2.6,3420,2,1,12,39,0,0,0,7,0,0,6,533,589.6,332.8,265,119,    
30,Artur Boruc,91,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
31,Adam Federici,91,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
37,Bradley Smith,91,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
44,Max Gradel,91,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
