Player,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Aaron,103,9000,99,4,3,14,0,0,0,3,1,2,1,29,10,154,538,120,132,12,88,40,26,189,118,113,77,2764,3464,74,72,501,129,463,1,1,9,3,0,20,7,0,0,1,93,0,6243,55,0,0,0,0,52,14,138,133,52,3,1,0,140,25,0,195,194,148,2,0,8,0,0,181
Aaron Connolly,8,366,4,4,4,0,0,0,2,0,0,0,0,15,6,0,5,0,3,0,3,0,0,1,1,4,13,46,56,0,9,10,4,27,0,0,12,6,2,3,0,0,0,1,5,0,135,24,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,2,2,0,0,0,5,1,1,7
Aaron Cresswell,88,7312,83,5,11,11,1,1,3,10,1,6,4,49,11,95,391,69,68,10,38,20,32,96,60,37,42,2449,3130,39,121,364,22,281,1,4,20,4,1,29,7,2,0,0,51,0,5164,77,0,0,0,0,38,10,75,66,57,14,6,2,133,16,0,220,219,195,0,1,9,2,1,56
Aaron Herzog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hunt,51,3468,40,11,19,4,0,0,7,4,0,3,1,44,15,33,239,77,88,7,34,50,6,64,40,52,74,1218,1564,10,34,189,32,200,0,3,18,10,4,26,5,3,0,0,39,0,2357,78,2,1,0,1,59,18,176,134,28,14,3,2,58,3,0,21,21,98,2,0,11,5,3,76
Aaron Lennon,64,3879,44,20,24,5,0,0,1,4,0,3,1,24,7,34,76,12,24,2,20,0,7,84,55,38,43,697,943,12,14,163,26,163,0,0,18,6,1,6,1,0,0,1,49,0,1584,79,0,0,0,0,0,0,1,1,23,0,0,0,63,4,1,39,39,17,0,0,1,1,1,60
Aaron Leya Iseka,46,1961,20,26,10,2,0,1,5,2,0,2,0,43,15,4,4,0,17,0,15,0,4,8,6,42,21,319,414,0,47,43,12,86,0,0,38,12,4,5,3,1,0,1,46,0,705,80,0,0,0,0,0,0,0,0,11,0,0,0,34,2,0,14,14,5,2,0,8,7,3,31
Aaron Mooy,71,5673,63,8,8,8,1,1,7,4,1,2,2,75,21,55,337,77,95,9,55,36,15,176,109,55,29,2661,3338,19,51,494,43,297,0,0,26,8,5,49,13,2,0,0,104,0,4567,64,2,2,0,0,76,20,159,133,32,11,6,1,102,13,0,71,71,173,3,0,3,0,4,69
Aaron Ramsdale,11,990,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,162,298,0,1,91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,11,11,65,0,0,0,0,0,0
Aaron Ramsey,80,4650,51,29,21,3,0,0,13,18,1,17,1,137,53,45,57,10,81,18,63,0,8,95,59,71,78,2640,3098,10,33,330,65,271,0,1,88,40,10,49,13,3,0,2,90,0,3992,255,0,0,0,0,1,0,2,1,44,0,0,0,60,10,0,26,26,99,7,0,6,12,6,91
Aaron Rowe,2,69,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,13,20,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3
Aaron Seydel,6,172,1,5,0,0,0,0,1,0,0,0,0,4,2,1,1,0,0,0,0,0,1,1,0,6,6,27,49,0,13,7,0,19,0,0,2,2,1,2,0,0,0,0,3,0,76,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,0,0,3,0,1,2
Aaron Tabacchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wan-Bissaka,51,4564,51,0,2,8,0,1,0,3,0,3,0,11,0,116,100,19,22,4,19,0,24,205,139,29,24,1344,1812,19,57,284,85,371,0,0,8,0,0,3,0,0,0,0,55,0,3476,41,0,0,0,0,0,0,0,0,23,0,0,0,65,16,1,182,182,51,1,0,2,1,0,122
Abdallah Ali Mohamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallah Ndour,13,900,11,2,4,2,1,2,0,0,0,0,0,1,0,11,47,16,12,0,12,0,4,20,12,11,15,298,387,16,10,56,0,44,0,0,0,0,0,1,0,0,0,0,3,0,620,1,0,0,0,0,0,0,0,0,4,0,0,0,14,1,0,15,15,27,0,0,0,0,0,4
Abdel Malik Hsissane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdelhamid El Kaoutari,18,1307,16,2,2,0,1,1,0,0,0,0,0,1,0,21,2,0,0,0,0,0,14,24,20,13,14,362,451,0,19,70,5,59,0,1,1,0,0,0,0,0,0,0,4,0,666,3,0,0,0,0,0,0,0,0,2,0,0,0,31,3,0,100,100,30,0,0,0,1,0,5
Abdelhamid Sabiri,13,515,5,8,4,2,0,0,1,1,0,1,0,16,3,4,2,0,4,0,3,0,0,11,8,7,7,160,207,0,23,25,3,44,0,0,7,0,0,9,3,1,0,0,9,0,299,11,0,0,0,0,0,0,0,0,2,3,1,0,14,1,0,6,6,12,0,0,1,1,0,9
Abdon Prats,4,60,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,9,12,0,4,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,19,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
Abdou Diakhate,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdou Diallo,70,5945,67,3,5,7,0,1,3,3,0,3,0,30,9,100,53,19,18,1,15,0,40,134,88,102,27,3262,3827,19,143,339,82,384,1,0,29,9,3,1,0,0,0,0,28,0,4967,50,0,0,0,0,0,0,0,0,15,0,0,0,89,16,2,191,189,278,1,0,7,7,2,117
Abdou Traore,6,89,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,3,0,2,71,75,0,1,8,1,8,0,0,0,0,0,1,0,0,0,0,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,6,0,0,1,0,0,2
Abdoul Camara,14,895,12,2,10,0,0,0,2,1,0,1,0,19,6,5,38,8,10,1,7,2,1,6,4,7,11,212,268,4,9,46,16,42,0,0,11,4,2,8,2,0,0,0,14,0,441,36,0,0,0,0,1,1,7,7,9,1,1,0,19,0,0,4,4,4,0,0,2,0,2,34
Abdoulay Konko,10,619,7,3,3,2,0,0,0,0,0,0,0,4,1,16,6,0,1,0,1,0,4,11,9,14,7,267,333,0,10,56,9,36,0,0,2,1,0,2,0,0,0,0,12,0,502,10,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,25,21,12,0,0,0,0,0,14
Abdoulaye Ba,26,2111,25,1,2,4,0,2,1,0,0,0,0,9,4,29,1,1,2,0,2,0,18,46,33,24,13,864,1049,1,69,154,4,131,1,3,9,4,1,0,0,0,0,0,3,0,1396,11,0,0,0,0,0,0,0,0,1,0,0,0,34,6,3,157,157,97,0,1,1,1,0,5
Abdoulaye Bamba,57,4789,54,3,4,10,0,0,0,6,0,6,0,13,1,62,125,17,32,7,24,1,6,92,59,49,42,1436,1819,17,58,262,34,223,0,0,3,0,0,10,1,0,0,0,29,1,3131,23,0,0,0,0,0,0,0,0,24,0,0,0,66,15,1,127,127,54,2,0,4,0,0,50
Abdoulaye Dabo,2,117,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,3,1,2,2,26,30,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,2,0,51,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,7
Abdoulaye Diallo,9,765,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,123,186,0,2,59,0,3,1,0,0,0,0,0,0,0,0,0,1,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,5,5,45,0,0,0,0,0,0
Abdoulaye Doucoure,103,8717,96,7,6,23,0,0,14,9,0,9,0,140,46,123,46,10,104,11,95,0,23,192,113,104,49,4747,5651,10,109,832,100,448,1,4,68,32,12,72,14,2,1,0,110,2,7035,198,0,0,0,0,0,0,1,0,31,0,0,0,174,20,2,141,141,189,4,0,5,9,8,147
Abdoulaye Toure,93,6922,75,18,8,9,0,1,6,2,0,2,0,116,32,126,49,12,52,3,50,0,23,144,98,102,132,2835,3508,12,140,563,102,508,2,1,15,9,2,101,23,4,0,1,106,0,4790,49,1,1,0,0,0,0,0,0,19,2,1,0,87,21,1,83,83,183,3,0,1,2,1,142
Abdoulaye Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Majeed Waris,68,5093,56,12,21,8,0,0,14,8,0,8,0,120,45,19,61,10,53,10,43,2,0,60,40,60,139,1004,1301,7,48,192,68,314,0,0,83,40,12,37,5,2,0,3,167,0,2366,264,4,2,1,1,0,0,15,10,47,0,0,0,89,2,0,10,10,29,5,0,29,19,9,164
Abdul-Rahman Baba,29,1977,22,7,3,6,0,0,1,3,0,3,0,14,1,48,50,14,15,2,12,0,6,64,43,36,21,687,902,14,36,132,28,149,1,2,6,1,1,8,0,0,0,0,22,0,1569,22,0,0,0,0,0,0,0,0,16,0,0,0,33,4,0,59,55,40,0,0,2,0,0,60
Abdullahi Nura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abel Hernandez,24,1428,16,8,10,0,0,0,4,3,0,2,1,39,18,3,1,0,13,1,10,0,0,8,6,19,11,182,252,0,22,29,2,42,0,0,30,13,4,9,5,0,0,0,18,0,408,54,0,0,0,0,0,0,0,0,6,1,0,0,23,1,0,3,3,1,1,0,11,2,3,10
Abel Ruiz Ortega,1,21,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,8,10,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Ablie Jallow,2,131,2,0,2,0,0,0,0,0,0,0,0,1,0,4,3,1,2,1,2,0,0,1,1,2,3,36,43,1,4,8,2,10,0,0,1,0,0,0,0,0,0,0,2,0,70,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3
Abou Diaby,2,130,2,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,2,2,75,97,0,4,10,4,10,0,0,0,0,0,0,0,0,0,0,4,0,119,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,5
Abou Ouattara,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Aboubakar Kamara,13,690,5,8,2,2,0,0,3,0,0,0,0,21,10,1,18,1,10,1,10,0,0,8,4,24,4,165,225,1,12,28,12,36,0,0,14,8,3,7,2,0,0,0,13,0,379,37,2,1,0,1,0,0,0,0,8,0,0,0,17,0,0,5,5,7,0,0,7,4,2,20
Aboubakar Keita,21,1464,14,7,0,2,0,0,0,0,0,0,0,7,0,34,12,1,2,0,2,0,7,35,25,12,9,424,534,1,15,93,11,68,0,2,2,0,0,5,0,0,0,0,19,0,886,8,0,0,0,0,0,0,0,0,5,0,0,0,28,2,1,40,40,32,0,0,0,0,0,18
Abukar Mohamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accursio Bentivegna,3,90,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,6,22,30,0,0,5,2,10,0,0,0,0,0,1,0,0,0,0,3,0,46,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2
Achraf Hakimi,40,3263,35,5,4,6,0,0,6,6,0,6,0,34,15,51,101,17,29,7,23,0,7,77,51,29,57,1974,2293,16,27,238,90,250,1,3,19,12,6,15,3,0,0,0,48,0,3373,79,0,0,0,0,0,0,3,2,36,1,0,0,39,11,0,60,60,67,3,1,2,4,2,132
Achraf Lazaar,9,479,6,3,3,0,0,0,1,0,0,0,0,7,4,6,20,3,3,1,3,0,1,12,8,10,4,104,134,3,6,33,9,30,0,0,4,3,1,3,1,0,0,0,21,0,279,8,0,0,0,0,0,0,2,2,2,0,0,0,19,0,0,9,9,5,0,0,0,0,0,17
Adalberto Penaranda,22,1134,13,9,10,4,0,0,0,0,0,0,0,27,8,1,5,0,11,0,11,0,2,22,13,42,37,258,320,0,20,57,21,100,0,0,9,4,0,18,4,0,0,0,43,0,584,37,0,0,0,0,0,0,0,0,6,0,0,0,24,0,0,1,1,7,0,0,6,1,0,46
Adam Bodzek,30,2319,28,2,10,8,0,1,0,1,0,1,0,8,2,37,1,1,14,3,13,0,11,54,36,40,53,821,978,1,56,105,5,164,0,0,3,1,0,5,1,0,0,0,11,0,1279,11,0,0,0,0,0,0,0,0,1,0,0,0,42,3,2,50,50,87,0,1,0,1,0,8
Adam Clayton,34,2806,32,2,4,10,0,0,0,2,1,2,0,11,2,66,23,8,20,1,17,1,22,79,56,52,43,1268,1451,6,20,216,19,158,1,0,2,1,0,9,1,0,0,0,25,0,1890,6,0,0,0,0,2,0,6,5,2,0,0,0,45,10,0,41,40,113,1,0,0,0,0,26
Adam Federici,2,180,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,54,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,16,0,0,0,0,0,0
Adam Forshaw,34,2700,30,4,9,4,0,0,0,1,1,1,0,28,6,37,51,10,28,3,24,3,4,61,42,33,32,1195,1353,5,18,176,22,133,0,0,8,2,0,20,4,0,0,1,35,0,1767,31,0,0,0,0,5,1,24,20,12,1,0,0,36,8,0,21,21,99,4,0,1,2,0,32
Adam Idah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Jakubech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,61,3160,34,27,25,5,0,0,9,7,2,6,1,69,23,27,65,14,61,4,52,2,3,76,48,26,50,1711,2034,11,39,210,47,207,0,1,41,18,9,28,5,0,0,0,77,0,2696,168,0,0,0,0,0,0,10,5,39,0,0,0,37,3,0,24,23,39,3,1,13,4,5,75
Adam Lang,22,1859,21,1,3,4,1,1,0,0,0,0,0,5,0,31,6,3,7,1,7,0,18,23,17,25,5,709,862,3,34,108,1,63,0,1,4,0,0,1,0,0,0,0,1,1,1132,14,0,0,0,0,0,0,0,0,4,0,0,0,34,5,1,119,114,78,0,0,0,1,0,3
Adam Legzdins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Marusic,64,5070,57,7,10,7,0,2,5,6,0,6,0,59,24,61,158,36,61,4,54,1,6,67,41,63,38,1472,1809,36,62,265,53,220,0,0,37,18,5,22,6,0,1,1,50,0,3068,171,0,0,0,0,0,0,1,0,43,0,0,0,69,16,1,53,53,47,0,0,8,5,3,118
Adam Masina,82,6435,74,8,18,19,0,2,1,2,0,2,0,40,11,131,133,29,41,6,39,0,27,178,121,124,60,2309,3069,27,234,380,52,521,0,0,22,7,1,18,4,0,0,0,57,0,5077,78,0,0,0,0,4,0,16,12,25,0,0,0,103,13,2,243,238,129,1,0,10,6,1,89
Adam Nagy,51,3496,40,11,17,7,1,1,1,1,0,1,0,15,6,58,26,5,32,2,31,0,7,76,53,39,27,1471,1666,4,18,228,30,150,1,1,3,2,1,12,4,0,1,0,37,0,2147,27,0,0,0,0,0,0,3,2,5,0,0,0,56,6,0,28,27,50,1,0,0,0,0,48
Adam Ounas,55,2076,20,35,13,5,0,1,6,3,1,2,1,55,23,23,89,17,50,9,43,4,0,32,21,19,45,666,870,9,17,122,63,156,0,1,26,14,5,29,9,1,0,1,56,0,1428,76,1,1,0,0,6,2,17,14,30,1,0,0,26,0,0,7,7,44,5,0,2,3,3,102
Adam Reach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Smith,95,7822,88,7,10,19,0,1,3,10,1,9,1,48,11,120,122,29,66,10,53,3,28,192,134,95,166,2907,3500,27,83,417,92,528,1,1,23,5,3,25,6,0,0,0,51,1,5742,127,0,0,0,0,3,2,20,2,30,4,2,0,138,20,3,197,195,99,0,1,5,3,1,169
Adam Szalai,78,3691,35,43,17,7,0,0,19,5,0,5,0,119,45,6,11,1,61,5,55,1,4,40,27,79,60,712,1000,1,120,78,34,245,0,0,100,43,19,19,2,0,0,0,78,0,1647,218,0,0,0,0,0,0,0,0,23,0,0,0,71,4,0,31,30,18,3,0,30,12,11,73
Adam Webster,8,666,8,0,1,1,0,0,1,0,0,0,0,4,1,13,3,0,4,0,4,0,6,8,6,4,4,440,514,0,22,50,5,39,0,0,2,1,1,2,0,0,0,0,3,1,620,7,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,28,28,19,0,0,0,0,0,6
Adam Zrelak,14,940,10,4,2,4,0,0,2,1,0,1,0,17,6,2,1,0,9,0,8,0,2,14,9,19,7,108,192,0,54,15,1,75,0,0,17,6,2,0,0,0,0,0,7,0,324,38,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,12,12,4,0,0,10,4,2,6
Adama Diakhaby,59,2112,19,40,17,5,0,1,6,3,0,2,1,44,18,23,50,8,22,6,18,0,0,52,32,27,38,411,569,8,45,103,49,183,1,0,27,10,6,17,8,0,1,0,62,0,1143,90,1,1,0,0,1,0,3,3,29,1,1,0,41,0,0,12,12,10,0,0,14,4,6,100
Adama Diomande,22,1169,13,9,6,1,0,0,2,0,0,0,0,23,6,7,4,1,13,0,13,0,1,25,20,19,16,251,320,1,35,53,22,97,0,1,18,4,2,5,2,0,0,0,45,0,556,43,0,0,0,0,0,0,0,0,5,0,0,0,29,0,0,7,7,6,0,0,10,2,1,30
Adama Mbengue,30,2334,26,4,4,5,0,1,0,0,0,0,0,23,2,33,118,16,13,5,11,2,5,118,80,59,32,519,788,16,23,219,37,210,0,0,5,1,0,18,1,0,0,0,33,0,1728,13,0,0,0,0,0,0,1,0,24,0,0,0,33,11,1,57,57,61,0,1,0,0,0,59
Adama Niane,33,2168,25,8,12,6,0,0,8,2,0,2,0,73,27,8,12,2,17,1,15,0,1,22,12,36,28,373,547,2,79,78,12,137,0,0,48,20,7,25,7,1,0,0,53,0,948,113,2,2,0,0,0,0,0,0,17,1,0,0,34,3,0,13,13,10,0,0,31,9,7,30
Adama Soumaoro,66,5570,63,3,5,8,1,2,1,1,0,0,1,21,6,88,0,0,8,1,7,0,59,43,29,62,51,2769,2967,0,137,390,38,262,0,3,21,6,1,0,0,0,0,0,16,0,3689,40,0,0,0,0,0,0,0,0,3,0,0,0,75,13,2,305,296,98,0,1,3,4,1,41
Adama Traore,89,4351,46,43,27,5,0,0,8,7,1,5,2,63,21,32,179,47,71,7,59,5,6,73,60,57,118,1047,1375,40,68,256,249,508,0,0,33,14,6,30,7,2,0,0,125,0,2747,137,0,0,0,0,7,3,21,18,40,2,1,0,59,6,0,25,24,35,3,0,9,3,5,343
Adel Taarabt,28,1827,19,9,8,5,0,1,2,5,1,5,0,39,14,13,43,4,39,5,33,1,3,20,13,26,30,680,842,2,5,106,54,109,0,0,19,9,1,20,5,1,0,0,48,0,1247,58,0,0,0,0,5,0,14,8,21,0,0,0,25,4,0,7,7,36,3,0,15,1,0,82
Adem Ljajic,61,4705,53,8,11,7,0,0,16,18,5,9,9,157,50,28,160,44,127,25,87,22,1,26,17,17,47,2189,2576,5,2,172,101,176,0,0,59,25,9,98,25,7,0,0,87,0,3504,192,2,1,0,1,44,15,114,78,54,37,11,2,80,6,0,22,22,62,7,0,5,4,3,153
Ademola Lookman,50,1751,15,35,10,1,0,0,6,5,0,4,1,45,15,12,34,8,29,7,22,2,0,27,16,30,48,540,660,5,9,104,55,139,0,0,31,14,6,14,1,0,0,0,52,0,1112,82,0,0,0,0,2,1,14,10,14,1,0,0,29,1,0,9,9,11,1,0,5,6,3,100
Aderlan Santos,12,1001,11,1,2,1,0,0,0,0,0,0,0,2,1,33,0,0,0,0,0,0,5,24,16,13,4,333,395,0,15,48,1,44,0,0,1,0,0,1,1,0,0,0,1,0,539,3,0,0,0,0,0,0,0,0,0,1,1,0,18,0,1,59,54,32,0,1,3,0,0,1
Adil Aouchiche,1,65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,24,30,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
Adil Rami,69,6066,69,0,5,10,0,0,2,3,0,1,2,40,6,95,5,0,16,5,13,0,49,70,50,73,46,3077,3617,0,193,391,14,318,2,5,34,5,2,6,1,0,0,0,8,1,4384,63,0,0,0,0,0,0,0,0,6,2,0,0,78,23,3,300,298,303,1,0,4,1,1,19
Adlene Guedioura,17,857,9,8,5,2,0,0,0,1,0,1,0,19,4,12,33,9,8,1,3,4,1,25,22,22,9,313,418,4,19,67,20,73,0,0,1,1,0,18,3,0,0,0,24,0,637,6,0,0,0,0,6,1,13,12,4,2,0,0,20,0,0,10,9,31,0,0,1,0,0,25
Admir Mehmedi,71,4315,51,20,35,5,0,0,13,9,0,8,1,74,26,55,144,39,78,11,50,19,0,96,68,91,87,1338,1728,19,80,193,32,289,0,0,53,22,12,21,4,1,0,0,76,0,2736,152,0,0,0,0,10,4,63,46,33,2,0,0,73,3,1,19,19,49,4,0,40,8,6,81
Adnan Januzaj,79,4764,53,26,33,8,1,1,4,12,1,12,0,125,29,28,251,72,105,16,61,32,1,46,36,78,145,1022,1353,26,24,214,195,410,0,0,74,23,4,51,6,0,0,0,174,0,2881,228,0,0,0,0,24,9,141,126,66,11,2,0,81,5,0,27,26,73,5,0,15,10,4,337
Adria Pedrosa,20,1331,14,6,1,2,0,0,2,0,0,0,0,17,6,10,34,6,10,2,10,0,4,16,9,17,15,354,431,6,6,76,23,60,0,0,7,3,2,10,3,0,1,0,16,0,804,26,0,0,0,0,0,0,3,0,7,0,0,0,18,3,0,29,29,23,2,0,1,0,2,41
Adrian,94,7177,79,15,16,5,0,0,11,7,0,6,1,75,26,14,42,6,51,10,44,0,4,33,20,22,43,1486,2400,6,111,528,51,231,2,2,67,23,11,8,3,0,0,0,77,0,3416,176,0,0,0,0,0,0,1,1,26,1,0,0,122,18,0,94,94,369,2,2,19,8,9,94
Adrian Cubas,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Dieguez,15,1185,14,1,4,8,0,0,0,0,0,0,0,4,1,23,1,1,1,0,0,1,4,26,15,26,10,258,343,1,22,65,15,71,1,1,2,1,0,2,0,0,0,0,4,0,572,5,0,0,0,0,0,0,0,0,1,0,0,0,19,1,2,63,63,30,0,0,0,0,0,16
Adrian Embarba,36,2289,27,9,17,3,1,1,5,6,1,5,1,49,18,29,222,54,54,8,20,28,2,54,26,44,36,420,584,19,21,127,48,158,0,0,31,12,5,18,6,0,0,0,49,0,1347,81,3,3,0,0,28,8,101,88,37,5,1,0,41,4,1,12,12,23,2,0,9,3,5,100
Adrian Gonzalez,57,3878,46,11,16,12,0,1,10,1,0,1,0,78,32,46,32,4,30,3,27,2,11,63,41,72,53,1240,1581,2,108,241,13,230,0,0,51,22,10,27,10,0,0,0,76,0,2161,83,6,6,0,0,0,0,2,2,25,0,0,0,64,7,0,43,42,98,0,1,10,5,9,27
Adrian Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Mariappa,63,4853,51,12,3,8,0,0,0,0,0,0,0,20,3,88,6,1,10,1,9,1,38,98,64,56,23,1724,2151,1,176,225,5,298,4,4,18,3,0,2,0,0,0,0,8,0,2926,36,0,0,0,0,0,0,0,0,5,0,0,0,96,12,0,305,305,131,0,3,3,3,0,11
