Player,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Juan Musso,39,3510,39,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,5,618,1046,0,16,336,0,20,1,3,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11,1,46,46,342,0,0,0,0,0,0
Juan Narvaez,7,304,4,3,3,0,0,0,0,0,0,0,0,3,0,8,6,1,2,0,2,0,0,8,6,4,16,141,155,1,2,27,3,29,0,0,0,0,0,3,0,0,0,0,3,0,221,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,3,3,9,1,0,0,0,0,4
Juan Pablo Carrizo,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0
Juan Rafael Fuentes,17,1287,16,1,5,5,0,0,0,1,0,1,0,1,1,24,23,3,5,2,4,0,9,18,12,22,8,310,405,3,28,45,1,55,0,0,1,1,0,0,0,0,0,0,5,0,675,4,0,0,0,0,1,0,0,0,4,0,0,0,39,1,0,57,54,25,1,0,3,1,0,5
Juan Rodriguez,4,230,2,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,5,5,2,3,1,57,82,0,3,6,0,9,1,0,0,0,0,0,0,0,0,0,1,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,17,17,4,0,0,0,0,0,0
Juan Soriano Oropesa,11,989,11,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,122,277,0,5,98,0,6,0,0,1,1,0,0,0,0,0,0,0,0,388,1,0,0,0,0,0,0,0,0,1,0,0,0,16,2,1,5,5,58,0,0,0,1,0,0
Juan Villar Vazquez,5,66,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,11,21,0,3,5,0,3,0,0,0,0,0,1,1,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Juan Zuniga,22,813,7,15,5,1,0,0,1,0,0,0,0,6,1,18,11,1,5,0,5,0,0,19,16,5,22,290,358,1,10,44,3,54,0,0,3,1,1,3,0,0,0,1,9,0,571,10,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,22,19,19,1,0,0,0,1,7
Juanan Entrena,3,102,1,2,1,0,0,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,1,2,2,0,2,17,21,0,0,2,3,7,0,0,3,1,0,3,1,0,0,0,1,0,44,5,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
Juanfran,153,12283,138,15,19,18,1,1,1,13,2,11,2,64,17,219,610,141,145,23,124,8,40,257,179,123,133,4038,5225,137,128,799,123,628,0,2,17,7,1,47,10,0,1,0,92,1,9002,151,0,0,0,0,2,0,9,5,87,0,0,0,175,40,2,307,296,227,4,0,15,3,0,210
Juanjo Camacho,3,34,0,3,0,0,0,0,0,0,0,0,0,3,2,0,2,0,2,0,2,0,0,1,1,0,0,12,22,0,1,4,2,4,0,0,1,1,0,2,1,0,0,0,3,0,41,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2
Juankar,38,2847,32,6,8,10,0,1,2,4,0,4,0,18,7,80,72,22,35,4,30,1,2,76,55,34,49,834,1126,22,45,204,26,194,0,1,12,7,2,6,0,0,0,0,18,0,1919,40,0,0,0,0,1,0,0,0,16,1,0,0,51,1,1,67,67,42,2,1,4,2,2,53
Juanmi,97,4920,54,43,34,12,2,2,24,4,0,3,1,132,55,29,15,3,27,6,23,0,0,64,39,79,73,911,1138,3,42,194,32,211,0,0,111,48,23,21,7,1,1,2,110,0,1926,245,0,0,0,0,0,0,0,0,32,0,0,0,77,3,1,16,16,28,2,0,64,20,14,68
