Player,POS,Position,ValMillions
Bruno Alves,Centre Back,Defender,0.9
Kastriot Dermaku,Centre Back,Defender,0.54
Giuseppe Pezzella,Left Back,Defender,2.7
Matteo Darmian,Right Back,Defender,9.0
Vincent Laurini,Right Back,Defender,1.35
Simone Iacoponi,Right Back,Defender,0.9
Hernani,Defensive Midfield,Midfielder,3.15
Gaston Brugman,Defensive Midfield,Midfielder,2.25
Matteo Scozzarella,Defensive Midfield,Midfielder,0.72
Emerson Espinoza,Defensive Midfield,Midfielder,0.27
Alberto Grassi,Central Midfield,Midfielder,6.3
Juraj Kucka,Central Midfield,Midfielder,4.5
Antonino Barilla,Central Midfield,Midfielder,0.9
Gianni Munari,Central Midfield,Midfielder,0.09
Gervinho,Left Winger,Midfielder,8.1
Yann Karamoh,Right Winger,Midfielder,9.0
Dejan Kulusevski,Right Winger,Midfielder,5.4
Mattia Sprocati,Right Winger,Midfielder,1.35
Luca Siligardi,Right Winger,Midfielder,0.72
Roberto Inglese,Centre Forward,Striker,13.5
Andreas Cornelius,Centre Forward,Striker,2.7
