Player,POS,Position,ValMillions
Munas Dabbur,Centre Forward,Striker,13.5
Chicharito,Centre Forward,Striker,10.8
Luuk de Jong,Centre Forward,Striker,10.8
Munir El Haddadi,Centre Forward,Striker,9.0
Paulo Oliveira,Centre Back,Defender,5.4
Pedro Bigas,Centre Back,Defender,2.7
Anaitz Arbilla,Centre Back,Defender,1.8
Esteban Burgos,Centre Back,Defender,0.9
Ivan Ramis,Centre Back,Defender,0.9
Jose Angel,Left Back,Defender,4.5
Alvaro Tejero,Right Back,Defender,2.7
Roberto Correa,Right Back,Defender,0.72
Pape Diop,Defensive Midfield,Midfielder,1.35
Gonzalo Escalante,Central Midfield,Midfielder,3.6
Edu Exposito,Central Midfield,Midfielder,3.6
Sergio Alvarez,Central Midfield,Midfielder,2.25
Takashi Inui,Left Winger,Midfielder,3.6
Pablo de Blasis,Left Winger,Midfielder,1.8
Fabian Orellana,Right Winger,Midfielder,2.25
Pedro Leon,Right Winger,Midfielder,1.62
Sergi Enrich,Centre Forward,Striker,6.75
Kike,Centre Forward,Striker,2.7
Charles,Centre Forward,Striker,1.8
Quique,Centre Forward,Striker,1.35
Jose Gimenez,Centre Back,Defender,63.0
Stefan Savic,Centre Back,Defender,31.5
Mario Hermoso,Centre Back,Defender,22.5
Felipe,Centre Back,Defender,18.0
Renan Lodi,Left Back,Defender,13.5
Kieran Trippier,Right Back,Defender,31.5
Sime Vrsaljko,Right Back,Defender,18.0
Santiago Arias,Right Back,Defender,16.2
Thomas,Defensive Midfield,Midfielder,45.0
Marcos Llorente,Defensive Midfield,Midfielder,27.0
Saul Niguez,Central Midfield,Midfielder,81.0
Hector Herrera,Central Midfield,Midfielder,19.8
Koke,Right Midfield,Midfielder,63.0
Thomas Lemar,Left Winger,Midfielder,36.0
Vitolo,Left Winger,Midfielder,16.2
Angel Correa,Right Winger,Midfielder,31.5
Joao Felix,Second Striker,Striker,90.0
Alvaro Morata,Centre Forward,Striker,45.0
Diego Costa,Centre Forward,Striker,22.5
Ivan Saponjic,Centre Forward,Striker,2.7
Domingos Duarte,Centre Back,Defender,2.7
Jose Antonio Martinez,Centre Back,Defender,1.08
Neyder Lozano,Centre Back,Defender,0.54
German Sanchez,Centre Back,Defender,0.45
Alex Martinez,Left Back,Defender,0.9
Ismail Koybasi,Left Back,Defender,0.45
Carlos Neva,Left Back,Defender,0.18
Victor Diaz,Right Back,Defender,1.08
