Player,Age,Country,Foot,ContractExp,ContractExpY,POS,Position,ValMillions,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Kang in Lee,18,"Korea, South",left,30/06/2022,2022,Attacking Midfield,Midfielder,18,9,235,2,7,2,2,0,1,1,0,0,0,0,5,2,3,13,3,4,0,4,0,0,3,0,8,4,82,91,2,0,9,6,13,0,0,2,1,1,3,1,0,0,0,5,0,151,6,0,0,0,0,0,0,1,1,3,0,0,0,5,0,0,0,0,2,1,0,0,0,1,8
Kenny McLean,27,Scotland,left,30/06/2021,2021,Central Midfield,Midfielder,2.25,10,741,8,2,0,2,0,0,1,0,0,0,0,7,1,14,5,2,4,1,4,0,2,19,10,8,16,358,432,2,23,41,4,62,0,0,3,1,1,4,0,0,0,0,5,0,568,5,0,0,0,0,0,0,0,0,2,0,0,0,20,1,1,19,19,20,0,0,0,0,0,5
Kevin NDoram,23,France  Chad,right,30/06/2020,2020,Defensive Midfield,Midfielder,3.6,29,2044,21,8,1,6,0,0,0,1,0,1,0,9,2,45,0,0,6,0,5,0,9,56,37,32,35,1150,1285,0,51,121,16,157,0,1,4,2,0,5,0,0,0,0,13,0,1594,9,0,0,0,0,0,0,0,0,2,0,0,0,28,6,0,49,48,81,0,0,0,1,0,21
Luuk de Jong,29,Netherlands,right,30/06/2023,2023,Centre Forward,Striker,10.8,10,689,8,2,3,1,0,0,1,0,0,0,0,22,5,1,1,1,8,1,7,0,0,8,6,10,8,125,179,1,47,21,0,60,0,0,22,5,1,0,0,0,0,0,2,0,270,49,0,0,0,0,0,0,0,0,5,0,0,0,8,2,0,10,10,2,0,0,8,9,1,2
Marco DAlessandro,28,Italy,right,30/06/2020,2020,Right Midfield,Midfielder,1.8,68,3549,36,32,17,6,0,0,2,4,0,3,1,39,14,31,134,34,61,3,56,1,4,110,69,45,83,831,1108,34,10,206,102,305,1,1,28,13,2,11,1,0,0,0,54,0,2144,109,0,0,0,0,0,0,7,2,35,0,0,0,52,2,0,49,48,27,0,0,5,4,2,168
Marten de Roon,28,Netherlands,right,30/06/2021,2021,Central Midfield,Midfielder,21.6,111,9017,102,9,12,30,1,1,10,8,0,8,0,94,28,151,55,12,75,6,67,0,26,266,158,201,60,4800,5661,12,179,673,26,529,1,0,37,16,9,57,12,1,0,0,52,0,6977,109,3,2,1,0,1,0,1,1,23,1,0,0,120,26,3,150,149,306,1,0,5,3,6,40
Matthijs de Ligt,20,Netherlands,right,30/06/2024,2024,Centre Back,Defender,67.5,8,720,8,0,0,2,0,0,1,0,0,0,0,5,3,5,1,0,1,0,1,0,4,8,4,11,4,381,423,0,16,47,0,27,0,1,3,3,1,2,0,0,0,0,4,0,506,7,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,35,35,31,0,0,0,1,1,0
MBaye Niang,24,Senegal  France,right,30/06/2023,2023,Centre Forward,Striker,10.8,100,6571,76,24,44,12,1,1,24,9,1,8,1,197,77,36,160,24,57,10,45,3,9,73,52,161,171,1346,1795,19,150,326,109,501,0,0,132,54,20,65,23,4,1,2,163,0,3454,336,6,3,0,3,1,1,18,13,91,3,2,0,95,7,0,49,48,69,1,0,49,18,8,275
Nathan NGoumou,19,France  Cameroon,right,30/06/2022,2022,Right Winger,Midfielder,0.27,1,71,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,28,32,0,0,5,1,2,0,0,0,0,0,1,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,2
NGolo Kante,28,France  Mali,right,30/06/2023,2023,Central Midfield,Midfielder,90,109,9519,108,1,9,16,0,0,8,6,1,6,0,85,20,220,43,9,110,10,102,1,15,324,202,137,45,5684,6434,9,65,851,118,551,0,5,28,9,5,57,11,3,0,0,129,0,8107,114,0,0,0,0,0,0,0,0,20,0,0,0,108,38,0,98,97,262,11,1,7,7,2,170
