Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Alessio Cragno,CAG,SERI,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,7,657,1077,0,16,322,0,20,1,0,0,0,0,0,0,0,0,0,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0,31,31,366,0,0,0,0,0,0
Regis Gurtner,ASC,FRAN,G,38,3420,38,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,1,1,6,561,1073,0,7,334,1,14,3,0,0,0,0,0,0,0,0,0,0,0,1329,1,0,0,0,0,0,0,0,0,0,0,0,0,52,11,1,13,13,321,0,0,0,0,0,1
Martin Dubravka,NEW,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,552,1033,0,16,325,1,24,3,2,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,35,35,281,0,1,0,0,0,1
Kasper Schmeichel,LEI,EPL,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,0,1,1,0,4,732,1118,0,10,268,1,16,1,2,1,0,0,0,0,0,0,0,0,0,1399,1,0,0,0,0,0,0,0,0,1,0,0,0,48,10,0,29,29,351,1,0,0,0,0,1
Yunis Abdelhamid,SDR,FRAN,D,38,3420,38,0,0,2,0,0,0,0,0,0,0,19,6,66,0,0,3,0,3,0,24,60,33,34,20,1328,1603,0,114,206,21,213,0,0,15,5,0,4,1,0,0,0,6,1,2108,28,0,0,0,0,0,0,0,0,5,0,0,0,42,14,1,183,183,105,0,0,1,2,0,23
Diego Lopez,ESP,LIGA,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,4,704,1068,0,7,283,1,11,1,2,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,20,20,264,0,0,0,0,0,1
Samir Handanovic,INT,SERI,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,778,963,0,7,268,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,0,13,13,186,0,0,0,0,0,0
Paul Bernardoni,NO,FRAN,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,7,473,955,0,15,303,0,20,1,0,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,58,10,0,35,35,252,0,0,0,0,0,0
David de Gea,MUN,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,569,948,0,3,291,0,7,4,0,0,0,0,0,0,0,0,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0,23,23,299,0,0,0,0,0,0
Jordan Pickford,EVE,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,623,1118,0,13,296,0,15,4,4,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,46,14,1,33,33,285,0,0,0,0,0,0
Lukasz Fabianski,WHU,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,6,532,1071,0,11,371,2,18,1,0,0,0,0,0,0,0,0,0,0,0,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7,0,27,27,323,0,1,0,0,0,2
Conor Coady,WLV,EPL,D,38,3420,38,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,2,1,1,0,27,31,19,10,10,1423,1689,0,34,251,3,76,0,3,0,0,0,0,0,0,0,0,4,3,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0,127,127,244,1,0,0,0,0,3
Francesco Caputo,EMP,SERI,F,38,3420,38,0,0,3,0,0,16,3,0,3,0,96,43,2,15,1,44,8,41,0,1,13,9,28,35,656,850,1,24,79,12,83,0,0,90,41,16,6,2,0,0,0,49,0,1281,270,6,3,2,1,0,0,0,0,32,0,0,0,70,5,0,11,11,21,0,0,31,16,14,41
Nathan Ake,BOU,EPL,D,38,3412,38,0,1,3,0,0,4,0,0,0,0,25,9,31,6,5,7,2,7,0,35,66,35,28,21,1459,1696,5,88,182,3,176,0,0,25,9,4,0,0,0,0,1,6,0,2244,52,0,0,0,0,0,0,0,0,3,0,0,0,70,10,1,232,232,71,0,1,2,3,4,5
Cesar Azpilicueta,CHE,EPL,D,38,3403,38,0,1,4,0,0,1,5,0,5,0,17,7,43,118,21,27,5,20,0,16,105,60,39,16,2160,2483,21,69,201,10,199,0,3,13,5,1,4,2,0,0,1,9,0,3418,50,0,0,0,0,0,0,0,0,19,0,0,0,39,15,1,75,75,48,2,0,2,0,1,22
Virgil van Dijk,LIV,EPL,D,38,3385,38,0,1,1,0,0,4,2,0,1,1,31,8,40,0,0,7,3,4,0,18,37,27,12,22,2724,3037,0,181,193,9,243,1,0,26,8,4,5,0,0,0,0,1,0,3472,71,0,0,0,0,0,0,0,0,6,1,0,0,22,20,1,199,199,203,0,1,1,1,4,12
Simone Iacoponi,PAR,SERI,D,38,3349,38,0,4,4,0,0,0,0,0,0,0,10,1,38,30,1,11,1,11,0,26,62,43,34,30,832,1143,1,56,151,12,159,1,2,7,1,0,3,0,0,0,0,12,0,1922,17,0,0,0,0,0,0,0,0,7,0,0,0,58,9,1,138,138,86,0,0,0,1,0,30
Bruno Ecuele Manga,CC,EPL,D,38,3375,37,1,0,0,0,0,0,1,1,1,0,10,4,82,20,2,6,0,4,1,28,70,36,15,11,622,956,2,87,268,9,177,2,2,8,4,0,2,0,0,0,0,13,0,1610,18,0,0,0,0,1,0,0,0,7,0,0,0,67,10,2,172,172,90,0,0,1,1,0,13
David Soria,GET,LIGA,G,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,2,419,1037,0,10,366,1,14,4,2,0,0,0,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,0,45,45,372,0,1,0,0,0,1
Jules Kounde,GDB,FRAN,D,37,3330,37,0,0,4,0,0,0,1,0,1,0,13,1,50,5,1,10,1,9,0,23,48,31,25,22,1584,1961,1,119,226,12,197,3,4,10,0,0,3,1,0,0,0,9,0,2482,24,0,0,0,0,0,0,0,0,3,0,0,0,41,10,2,182,182,120,0,0,0,2,0,14
Luigi Sepe,PAR,SERI,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,0,3,640,1078,0,15,320,0,16,0,3,0,0,0,0,0,0,0,0,0,1,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,0,29,29,354,0,0,0,0,0,0
Benjamin Lecomte,MTP,FRAN,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,1,6,702,1099,0,22,352,1,26,2,1,0,0,0,0,0,0,0,0,1,0,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,1,46,46,351,0,0,0,0,0,1
Giovanni Di Lorenzo,EMP,SERI,D,37,3330,37,0,0,8,0,0,5,3,1,3,0,21,9,36,124,19,40,7,35,2,13,66,43,46,54,1426,1780,19,38,189,28,185,1,2,16,9,5,5,0,0,0,0,44,0,2727,76,0,0,0,0,0,0,0,0,33,0,0,0,69,5,0,67,67,61,3,0,2,2,5,62
Stephane Ruffier,ETI,FRAN,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,595,1033,0,19,303,0,21,3,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,0,0,1,0,0,0,40,13,1,33,33,217,0,1,0,0,0,0
Benoit Costil,GDB,FRAN,G,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,690,1033,0,6,257,1,10,1,2,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,24,24,313,0,0,0,0,0,1
Matz Sels,STR,FRAN,G,37,3330,37,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,547,955,0,16,330,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,41,41,285,0,0,0,0,0,0
Jan Oblak,ATL,LIGA,G,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,375,759,0,7,259,1,12,0,1,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,1,23,23,230,0,1,0,0,0,1
Rui Patricio,WLV,EPL,G,37,3329,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,407,759,0,6,260,0,9,1,3,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,15,15,254,0,1,0,0,0,0
Nicolas Pepe,LIL,FRAN,F,38,3326,37,1,9,1,0,0,22,11,0,9,2,118,61,12,74,17,70,15,52,7,0,27,9,24,108,947,1194,5,45,137,101,278,0,1,71,45,21,47,16,1,0,1,111,0,2129,186,10,9,1,0,20,4,21,18,27,9,1,0,29,10,0,6,6,26,10,0,11,17,17,186
Jack Cork,BUR,EPL,M,37,3313,37,0,1,6,0,0,1,2,0,1,1,17,2,29,14,3,18,2,16,0,16,51,27,30,38,1079,1329,3,52,219,28,168,0,2,11,1,1,6,1,0,0,0,36,0,1789,35,0,0,0,0,0,0,1,1,2,0,0,0,63,8,0,79,79,76,2,0,4,0,1,38
Francesco Acerbi,LAZ,SERI,D,37,3310,37,0,0,3,1,1,3,1,0,1,0,18,7,61,6,1,10,2,9,0,32,40,30,24,42,1546,1775,1,97,225,9,187,1,0,17,7,3,1,0,0,0,0,8,0,2257,28,0,0,0,0,0,0,0,0,1,0,0,0,44,10,0,164,164,136,0,0,3,4,2,11
Andrea Belotti,TOR,SERI,F,37,3301,37,0,2,5,0,0,15,3,0,3,0,125,47,16,23,3,36,6,33,0,5,33,22,71,112,474,731,3,149,115,34,322,0,0,91,39,14,34,8,1,0,0,76,0,1486,199,6,5,1,0,0,0,0,0,27,6,0,0,35,15,0,22,22,20,2,0,30,14,7,81
Wilfred Ndidi,LEI,EPL,M,38,3298,37,1,4,8,0,0,2,0,1,0,0,55,9,83,12,0,22,2,22,0,9,143,99,46,22,1586,1985,0,131,324,33,326,0,2,21,2,1,34,7,1,0,0,36,0,2692,45,0,0,0,0,0,0,0,0,10,0,0,0,47,8,0,80,80,90,3,0,2,3,1,49
Daniel Congre,MTP,FRAN,D,37,3293,37,0,0,5,0,1,2,2,0,2,0,15,5,70,6,1,9,1,7,0,15,75,45,38,29,1252,1528,1,82,159,3,183,0,1,13,5,2,2,0,0,0,0,9,0,1943,18,0,0,0,0,0,0,0,0,1,0,0,0,41,11,0,100,100,125,1,0,1,0,1,7
Aleksandar Mitrovic,FUL,EPL,F,37,3281,37,0,2,7,0,0,11,3,0,3,0,131,48,6,6,1,31,5,28,0,8,19,9,61,59,739,1027,1,239,83,24,336,0,0,96,36,11,35,12,0,0,0,97,0,1681,167,1,1,0,0,0,0,0,0,22,2,1,0,78,5,1,53,53,14,3,0,34,15,8,45
Armando Izzo,TOR,SERI,D,37,3274,37,0,3,6,0,0,4,1,0,0,1,25,8,86,20,3,10,1,9,0,24,76,51,56,61,1425,1832,3,117,253,9,257,1,1,20,8,4,5,0,0,0,1,11,0,2440,41,0,0,0,0,0,0,0,0,3,0,0,0,32,15,0,142,142,159,0,0,2,2,2,14
Christopher Schindler,HUD,EPL,D,37,3262,37,0,1,4,1,1,1,0,0,0,0,13,3,70,0,0,2,1,2,0,34,62,36,26,18,1286,1553,0,137,122,1,217,1,3,12,3,1,1,0,0,1,0,4,0,1975,36,0,0,0,0,0,0,0,0,2,0,0,0,71,5,1,132,132,148,0,0,0,1,0,2
Yann M'Vila,ETI,FRAN,M,37,3260,37,0,1,5,0,1,0,1,0,1,0,14,2,73,7,3,25,1,24,0,12,71,40,20,33,1974,2293,2,52,244,11,160,0,5,1,0,0,13,2,0,0,0,17,0,2754,4,0,0,0,0,1,1,0,0,4,0,0,0,36,13,0,79,79,243,5,0,0,0,0,14
Mohamed Salah,LIV,EPL,F/M,38,3256,37,1,13,1,0,0,22,8,0,6,2,137,64,5,57,16,68,16,57,3,0,21,9,25,32,819,1079,6,11,121,79,142,0,0,95,53,21,42,11,1,1,2,120,0,1818,322,3,3,0,0,8,0,35,29,44,3,0,0,21,15,0,4,4,21,10,0,27,16,14,149
Baptiste Santamaria,SCO,FRAN,M,38,3247,37,1,4,2,0,0,1,0,0,0,0,24,5,58,11,1,13,0,13,0,4,118,59,50,50,1207,1487,1,39,239,29,234,0,2,6,2,1,18,3,0,0,0,31,0,2041,13,0,0,0,0,0,0,0,0,6,1,0,0,48,13,0,53,53,123,1,0,1,0,1,45
Fabio Quagliarella,SMP,SERI,F,37,3211,37,0,12,1,0,0,26,8,0,7,1,141,57,8,34,6,38,8,29,0,1,15,9,32,58,593,858,6,27,88,18,115,0,0,95,47,25,46,10,1,0,0,50,0,1428,190,10,9,0,1,0,0,0,0,25,10,1,0,45,6,0,17,17,22,1,0,37,13,19,36
Antoine Griezmann,ATL,LIGA,F,37,3202,37,0,6,5,0,0,15,9,0,7,2,113,46,12,101,24,74,13,48,16,1,31,19,18,35,1087,1388,6,42,118,17,124,0,0,60,26,11,53,20,4,0,0,48,0,1936,148,3,3,0,0,23,7,61,46,40,16,7,3,29,14,0,21,21,49,4,0,12,10,9,42
Jorginho,CHE,EPL,M,37,3165,37,0,9,8,0,0,2,0,1,0,0,19,7,64,2,1,30,6,29,0,7,76,38,33,22,2783,3118,1,13,274,15,125,0,1,2,2,1,17,5,1,0,0,31,0,3551,5,1,1,0,0,0,0,0,0,3,0,0,0,37,13,0,35,35,92,13,0,0,0,1,27
Nathan Redmond,SOU,EPL,M,38,3275,36,2,8,3,0,0,6,4,0,4,0,74,22,20,76,21,52,7,47,1,2,45,22,29,28,849,1125,20,25,171,90,188,0,1,33,12,4,41,10,2,0,0,81,0,1896,151,0,0,0,0,2,0,11,9,45,3,1,0,58,5,0,21,21,48,1,0,15,6,3,166
Ben Chilwell,LEI,EPL,D,36,3240,36,0,0,4,0,0,0,4,0,2,2,22,10,38,132,22,45,2,33,8,7,55,29,32,44,1218,1684,18,110,185,49,256,0,0,7,4,0,15,6,0,1,0,46,0,2863,57,0,0,0,0,10,3,4,3,31,0,0,0,43,10,0,129,129,42,1,1,2,1,0,85
Xavier Chavalerin,SDR,FRAN,M,36,3240,36,0,0,8,0,0,2,2,0,1,1,22,7,71,107,29,48,4,31,15,12,106,61,48,10,1132,1406,8,10,216,23,149,0,1,5,4,1,17,3,1,0,0,17,0,1957,15,0,0,0,0,20,8,56,49,9,0,0,0,39,14,1,32,32,107,1,0,1,1,0,31
Max Gradel,TFC,FRAN,F/M,36,3240,36,0,0,6,0,0,11,5,0,3,2,120,43,18,146,28,53,10,34,14,9,58,35,71,94,834,1123,16,46,178,88,280,0,0,75,31,8,45,12,3,0,1,102,0,2217,200,8,4,0,4,15,1,36,34,34,12,6,2,53,9,0,25,25,28,4,0,17,9,6,162
Kepa Arrizabalaga,CHE,EPL,G,36,3240,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,857,1003,0,8,247,1,13,0,2,0,0,0,0,0,0,0,0,1,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,39,14,0,14,14,188,0,1,0,0,0,1
Damian Suarez,GET,LIGA,M/D,36,3240,36,0,0,13,0,0,0,3,1,1,2,15,1,46,188,61,61,3,25,33,6,96,62,57,55,860,1323,29,33,246,22,204,0,2,0,0,0,15,1,0,0,0,23,0,2485,8,0,0,0,0,35,12,84,61,23,4,1,0,34,12,0,51,51,143,1,0,2,0,0,43
Victor Laguardia,ALA,LIGA,D,36,3240,36,0,0,12,0,0,1,2,0,0,2,17,4,54,1,0,7,3,3,1,19,46,33,26,14,893,1267,0,80,147,0,139,0,0,16,4,1,1,0,0,0,0,3,1,1731,35,0,0,0,0,0,0,0,0,3,1,0,0,44,8,1,224,224,151,0,2,2,3,0,0
Pedro Rebocho,GUI,FRAN,D,36,3240,36,0,0,4,0,0,0,8,0,3,5,17,5,41,248,63,54,12,28,18,13,62,36,18,34,1161,1459,30,48,229,22,163,1,0,5,2,0,12,3,0,0,0,30,0,2552,18,0,0,0,0,32,11,84,76,23,4,1,0,59,10,1,70,70,76,0,0,1,0,0,30
Faycal Fajr,CAE,FRAN,M,36,3240,36,0,0,6,0,0,5,4,0,1,3,51,16,29,218,55,54,5,25,25,6,67,33,43,89,1555,1908,10,17,239,30,201,0,2,7,4,2,44,12,3,0,0,37,0,2603,16,1,1,0,0,59,13,106,97,19,16,2,1,54,7,0,16,16,257,3,0,3,1,1,47
Emil Audero,SMP,SERI,G,36,3240,36,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,4,3,2,5,693,977,0,12,312,0,18,3,1,0,0,0,0,0,0,0,0,0,0,1343,1,0,0,0,0,0,0,0,0,0,0,0,0,51,11,2,33,33,169,0,0,0,0,0,0
Ludovic Butelle,SCO,FRAN,G,36,3239,36,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,5,461,815,0,8,327,0,13,0,1,1,0,0,0,0,0,0,0,0,0,1197,1,0,0,0,0,0,0,0,0,0,0,0,0,48,11,1,39,39,257,0,1,0,0,0,0
David Luiz,CHE,EPL,D,36,3239,36,0,1,3,0,0,3,2,0,2,0,34,8,35,4,1,20,11,15,0,18,41,31,34,29,2306,2620,1,82,203,10,162,1,0,21,4,3,13,4,0,0,0,3,0,3042,33,0,0,0,0,0,0,0,0,10,9,3,0,36,15,0,144,144,217,12,1,0,5,1,17
Jens Stryger Larsen,UDN,SERI,D,36,3235,36,0,2,6,0,0,1,4,0,4,0,16,6,24,79,20,31,4,27,0,8,43,20,14,14,1129,1417,18,29,165,11,96,0,1,7,2,1,9,4,0,0,0,25,0,2034,25,0,0,0,0,0,0,2,2,13,1,0,0,51,8,0,82,82,64,0,0,3,2,1,27
Vitorino Hilton,MTP,FRAN,D,36,3233,36,0,0,5,0,1,0,2,0,1,1,16,4,67,4,3,8,1,6,0,15,33,13,23,45,1232,1499,3,80,246,3,158,0,2,15,4,0,1,0,0,0,0,5,1,1988,29,0,0,0,0,0,0,0,0,2,0,0,0,41,11,1,193,193,237,1,0,0,2,0,4
Valentin Rongier,FCN,FRAN,M,36,3227,36,0,2,3,0,0,4,5,0,3,2,73,17,30,104,40,86,8,48,33,6,87,54,44,29,1585,1913,5,37,246,35,186,0,0,26,8,4,47,9,0,1,0,37,0,2548,55,2,1,0,1,36,14,55,42,21,4,0,0,44,8,0,15,15,118,0,0,3,4,1,54
Dante,NIC,FRAN,D,36,3227,36,0,1,11,0,0,1,1,0,1,0,21,3,39,4,0,6,0,5,0,30,54,40,44,16,2193,2397,0,77,218,4,149,0,2,20,3,1,1,0,0,0,0,5,0,2816,25,0,0,0,0,0,0,0,0,1,0,0,0,31,15,1,149,149,124,0,0,1,1,0,5
Andrew Robertson,LIV,EPL,D,36,3219,36,0,3,4,0,0,0,11,2,9,2,16,5,29,135,21,51,15,38,1,6,80,49,19,16,1994,2397,20,24,222,28,148,0,3,11,4,0,5,1,0,1,0,24,0,3223,90,0,0,0,0,4,1,4,3,28,0,0,0,20,19,0,47,47,80,0,0,1,0,0,47
Nicolas N'Koulou,TOR,SERI,M/D,36,3215,36,0,0,6,1,1,2,0,0,0,0,7,3,70,0,0,4,0,4,0,28,44,29,35,27,1267,1412,0,84,242,6,160,1,1,7,3,2,0,0,0,0,0,10,0,1838,14,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,171,171,106,0,0,0,1,1,9
Andrea Consigli,SAS,SERI,G,36,3214,36,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,704,1013,0,12,269,1,15,2,4,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,1,0,0,0,56,12,0,29,29,228,0,0,0,0,0,1
Jose Campana,LEV,LIGA,M,36,3213,36,0,3,12,0,0,4,9,0,3,6,23,9,48,149,43,59,11,28,21,7,65,45,42,35,1567,1857,6,44,268,47,188,1,0,9,5,3,14,4,1,0,0,31,0,2498,38,0,0,0,0,18,3,115,99,17,3,2,0,61,6,1,44,44,108,1,0,4,0,3,79
Nemanja Maksimovic,GET,LIGA,M,36,3211,36,0,2,5,0,0,1,0,0,0,0,33,7,71,4,0,12,0,12,0,15,77,45,19,11,581,769,0,83,166,10,181,0,0,18,4,1,15,3,0,0,0,21,0,1196,36,0,0,0,0,0,0,0,0,4,0,0,0,33,11,1,29,29,29,0,0,1,2,1,20
Patrick van Aanholt,CRY,EPL,D,36,3197,36,0,3,3,0,0,3,2,0,2,0,45,11,40,43,11,35,7,30,3,9,48,24,12,14,1284,1608,5,10,216,21,93,0,2,24,8,3,21,3,0,0,0,15,0,2387,65,0,0,0,0,9,5,2,2,16,0,0,0,46,11,0,81,81,67,3,1,10,1,2,41
Cristiano Biraghi,FIO,SERI,D,36,3194,36,0,2,8,0,0,1,4,0,3,1,33,6,45,272,62,63,11,39,20,17,52,33,36,26,1018,1341,36,39,162,15,132,0,0,8,2,0,25,4,1,0,0,11,0,2384,33,0,0,0,0,18,4,89,79,33,8,2,1,40,8,0,91,91,64,0,0,3,1,0,26
Rodrigo De Paul,UDN,SERI,F/M,36,3193,36,0,5,7,0,0,9,8,2,3,5,88,33,33,205,58,97,15,64,25,2,53,33,30,94,1211,1584,21,3,249,78,228,0,0,23,11,5,65,22,4,0,0,65,0,2528,57,6,3,1,2,32,9,107,90,40,7,3,0,52,7,1,11,11,179,10,0,0,6,4,136
Salvatore Sirigu,TOR,SERI,G,36,3170,36,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,3,606,1004,0,16,288,2,19,0,1,0,0,0,0,0,0,0,0,0,0,1310,1,0,0,0,0,0,0,0,0,0,0,0,0,35,14,1,31,31,340,0,0,0,0,0,2
Willy Boly,WLV,EPL,D,36,3168,36,0,1,2,0,1,4,0,0,0,0,24,6,72,0,0,11,3,11,0,32,85,52,29,14,1389,1717,0,136,213,13,248,0,6,22,6,4,2,0,0,0,0,15,0,2236,34,0,0,0,0,0,0,0,0,4,0,0,0,41,7,0,172,172,85,0,1,3,3,3,16
Alaixys Romao,SDR,FRAN,M,36,3165,36,0,4,8,0,1,0,3,0,2,1,15,1,58,6,2,11,4,8,0,16,118,72,88,81,1132,1430,2,63,243,27,287,0,1,13,1,0,2,0,0,0,0,24,0,2002,28,0,0,0,0,0,0,0,0,6,0,0,0,39,13,0,65,65,88,2,0,0,0,0,40
