Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Edouard Mendy,SDR,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,15,589,1016,0,22,357,0,29,2,1,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,0,30,30,297,0,0,0,0,0,0
Ederson,MCI,EPL,G,38,3420,38,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,3,0,2,0,0,3,3,2,3,760,920,0,10,274,1,18,0,2,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,2,0,0,0,23,20,2,18,18,125,1,0,0,0,0,1
Brice Samba,CAE,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,616,1051,0,10,343,0,12,3,1,0,0,0,0,0,0,0,0,0,0,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,17,17,383,0,0,0,0,0,0
Mike Maignan,LIL,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,529,924,0,12,312,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,18,18,215,0,0,0,0,0,1
Ben Foster,WAT,EPL,G,38,3420,38,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,5,0,4,1,0,2,2,2,9,516,1151,0,19,373,0,24,2,1,0,0,0,1,0,0,0,0,0,0,1499,0,0,0,0,0,1,0,0,0,1,0,0,0,59,7,2,44,44,365,0,0,0,0,0,0
Luka Milivojevic,CRY,EPL,M,38,3420,38,0,0,10,0,0,12,2,1,0,2,57,25,72,185,52,59,4,27,30,15,90,69,60,37,1589,1985,8,54,194,13,194,1,2,14,12,10,43,13,2,0,0,19,0,2716,23,11,10,0,1,31,2,143,135,22,16,6,1,53,12,0,66,66,129,0,0,0,2,10,21
Lukasz Skorupski,BGN,SERI,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,575,904,0,17,342,0,18,3,2,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,30,30,284,0,0,0,0,0,0
Neil Etheridge,CC,EPL,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,2,0,1,1,0,1,1,0,5,370,1144,0,8,322,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,69,10,0,30,30,346,0,1,0,0,0,0
Alisson Becker,LIV,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,864,1076,0,11,334,2,16,3,3,0,0,0,0,0,0,0,0,1,0,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,31,31,183,0,1,0,0,0,2
Ben Mee,BUR,EPL,D,38,3420,38,0,0,9,0,0,0,2,1,1,1,21,4,48,4,2,8,3,6,0,50,55,24,27,18,1125,1502,2,150,246,8,229,1,3,21,4,0,0,0,0,0,0,5,2,2039,56,0,0,0,0,0,0,0,0,5,0,0,0,68,8,1,232,232,180,1,1,0,1,0,9
