Player,Opposition,Ground,Start Date,position
AC Gilchrist,v India,Sydney,2000-01-02,7
AC Gilchrist,v New Zealand,Auckland,2000-03-11,7
DR Martyn,v New Zealand,Wellington,2000-03-24,7
DR Martyn,v New Zealand,Hamilton,2000-03-31,7
RT Ponting,v West Indies,Brisbane,2000-11-23,7
RT Ponting,v West Indies,Perth,2000-12-01,7
DR Martyn,v West Indies,Adelaide,2000-12-15,7
AC Gilchrist,v West Indies,Melbourne,2000-12-26,7
AC Gilchrist,v West Indies,Sydney,2001-01-02,7
AC Gilchrist,v India,Mumbai,2001-02-27,7
SK Warne,v Zimbabwe,Harare,1999-10-14,8
SK Warne,v Pakistan,Brisbane,1999-11-05,8
SK Warne,v Pakistan,Hobart,1999-11-18,8
SK Warne,v Pakistan,Perth,1999-11-26,8
SK Warne,v India,Adelaide,1999-12-10,8
SK Warne,v India,Melbourne,1999-12-26,8
SK Warne,v India,Sydney,2000-01-02,8
SK Warne,v New Zealand,Auckland,2000-03-11,8
AC Gilchrist,v New Zealand,Wellington,2000-03-24,8
AC Gilchrist,v New Zealand,Hamilton,2000-03-31,8
AC Gilchrist,v West Indies,Brisbane,2000-11-23,8
AC Gilchrist,v West Indies,Perth,2000-12-01,8
AC Gilchrist,v West Indies,Adelaide,2000-12-15,8
AJ Bichel,v West Indies,Melbourne,2000-12-26,8
JN Gillespie,v West Indies,Sydney,2001-01-02,8
SK Warne,v India,Mumbai,2001-02-27,8
