,Player,POS,Valuation
405,César Azpilicueta,Right-Back,£31.50m
408,Reece James,Right-Back,£6.30m
411,Jorginho,Defensive Midfield,£58.50m
414,N'Golo Kanté,Central Midfield,£90.00m
417,Mateo Kovacic,Central Midfield,£31.50m
420,Ross Barkley,Central Midfield,£27.00m
423,Ruben Loftus-Cheek,Central Midfield,£27.00m
426,Marco van Ginkel,Central Midfield,£9.00m
429,Mason Mount,Attacking Midfield,£31.50m
432,Callum Hudson-Odoi,Left Winger,£31.50m
435,Christian Pulisic,Right Winger,£54.00m
438,Willian,Right Winger,£31.50m
441,Pedro,Right Winger,£18.00m
444,Tammy Abraham,Centre-Forward,£28.80m
447,Michy Batshuayi,Centre-Forward,£22.50m
450,Olivier Giroud,Centre-Forward,£10.80m
453,Alisson,Goalkeeper,£72.00m
456,Adrián,Goalkeeper,£4.50m
459,Caoimhin Kelleher,Goalkeeper,£450k
462,Andy Lonergan,Goalkeeper,£225k
465,Virgil van Dijk,Centre-Back,£90.00m
468,Joe Gomez,Centre-Back,£31.50m
471,Joel Matip,Centre-Back,£31.50m
474,Dejan Lovren,Centre-Back,£18.00m
477,Sepp van den Berg,Centre-Back,£1.80m
480,Andrew Robertson,Left-Back,£54.00m
483,Trent Alexander-Arnold,Right-Back,£72.00m
486,Nathaniel Clyne,Right-Back,£10.80m
489,Fabinho,Defensive Midfield,£45.00m
492,Georginio Wijnaldum,Central Midfield,£45.00m
495,Naby Keïta,Central Midfield,£45.00m
498,Jordan Henderson,Central Midfield,£31.50m
501,Alex Oxlade-Chamberlain,Central Midfield,£31.50m
504,James Milner,Central Midfield,£13.50m
507,Adam Lallana,Attacking Midfield,£13.50m
510,Sadio Mané,Left Winger,£108.00m
513,Mohamed Salah,Right Winger,£135.00m
516,Xherdan Shaqiri,Right Winger,£22.50m
519,Roberto Firmino,Centre-Forward,£72.00m
522,Divock Origi,Centre-Forward,£18.00m
525,Bernd Leno,Goalkeeper,£27.00m
528,Emiliano Martínez,Goalkeeper,£3.15m
531,Matt Macey,Goalkeeper,£225k
534,Sokratis,Centre-Back,£18.00m
537,David Luiz,Centre-Back,£18.00m
540,Shkodran Mustafi,Centre-Back,£16.20m
543,Rob Holding,Centre-Back,£10.80m
546,Konstantinos Mavropanos,Centre-Back,£2.70m
549,Kieran Tierney,Left-Back,£22.50m
552,Sead Kolasinac,Left-Back,£18.00m
555,Héctor Bellerín,Right-Back,£36.00m
558,Calum Chambers,Right-Back,£12.60m
561,Lucas Torreira,Defensive Midfield,£49.50m
564,Granit Xhaka,Defensive Midfield,£36.00m
567,Dani Ceballos,Central Midfield,£40.50m
570,Mattéo Guendouzi,Central Midfield,£40.50m
573,Joe Willock,Central Midfield,£9.00m
576,Ainsley Maitland-Niles,Right Midfield,£16.20m
579,Mesut Özil,Attacking Midfield,£22.50m
582,Bukayo Saka,Left Winger,£6.30m
585,Nicolas Pépé,Right Winger,£67.50m
588,Reiss Nelson,Right Winger,£15.30m
591,Alexandre Lacazette,Centre-Forward,£63.00m
594,Pierre-Emerick Aubameyang,Centre-Forward,£63.00m
597,Gabriel Martinelli,Centre-Forward,£7.20m
600,Angus Gunn,Goalkeeper,£9.00m
603,Alex McCarthy,Goalkeeper,£4.50m
606,Jannik Vestergaard,Centre-Back,£18.00m
609,Jan Bednarek,Centre-Back,£13.50m
612,Jack Stephens,Centre-Back,£7.20m
615,Kevin Danso,Centre-Back,£7.20m
618,Maya Yoshida,Centre-Back,£6.30m
621,Ryan Bertrand,Left-Back,£13.50m
624,Sam McQueen,Left-Back,£900k
627,Cédric Soares,Right-Back,£10.80m
630,Yan Valery,Right-Back,£6.30m
